,kW,Rida,Gamybos_metai
2125,140,270923,201405
2126,140,299900,201811
2127,114,125000,201511
2128,135,260000,201403
2129,230,280000,201210
2130,195,335000,201305
2131,190,254000,201301
2132,110,206545,201409
2133,110,170144,201603
2134,110,200000,2014
2135,250,215000,201105
2136,225,237000,201211
2137,130,249652,201403
2138,120,241676,201401
2139,135,203893,201409
2140,110,250470,201506
2141,165,132152,201304
2142,110,245000,201904
2143,221,250000,2011
2144,140,300000,201610
2145,133,316000,201403
2146,180,245000,201108
2147,110,219000,201409
2148,145,193245,201411
2149,110,200981,201511
2150,120,199999,201007
2151,110,153187,2014
2152,110,206545,201409
2153,110,170144,201603
2154,110,200000,2014
2155,250,215000,201105
2156,225,237000,201211
2157,130,249652,201403
2158,120,241676,201401
2159,135,203893,201409
2160,110,250470,201506
2161,165,132152,201304
2162,110,245000,201904
2163,221,250000,2011
2164,140,300000,201610
2165,133,316000,201403
2166,180,245000,201108
2167,110,219000,201409
2168,145,193245,201411
2169,110,200981,201511
2170,120,199999,201007
2171,110,153187,2014
2172,230,246685,201409
2173,230,303555,201208
2174,110,228648,201511
2175,110,230000,201709
2176,177,276000,201408
2177,149,311800,201603
2178,140,245200,201509
2179,225,180000,201106
2180,220,259000,200909
2181,130,206700,201303
2182,110,127200,201604
2183,180,149000,201312
2184,150,296000,201106
2185,150,314900,201505
2186,120,550135,2013
2187,140,282000,201510
2188,190,297000,201309
2189,110,239845,201609
2190,190,255845,201308
2191,125,238884,201105
2192,230,246685,201409
2193,230,303555,201208
2194,110,228648,201511
2195,110,230000,201709
2196,177,276000,201408
2197,149,311800,201603
2198,140,245200,201509
2199,225,180000,201106
2200,220,259000,200909
2201,130,206700,201303
2202,110,127200,201604
2203,180,149000,201312
2204,150,296000,201106
2205,150,314900,201505
2206,120,550135,2013
2207,140,282000,201510
2208,190,297000,201309
2209,110,239845,201609
2210,190,255845,201308
2211,125,238884,201105
2212,110,216000,2015
2213,162,150575,201508
2214,225,259678,201010
2215,150,276365,201310
2216,230,293000,201204
2217,140,280000,201306
2218,225,322000,201104
2219,225,278000,201108
2220,180,257000,201411
2221,225,362488,201110
2222,135,228685,201411
2223,190,220545,201309
2224,110,202444,201412
2225,125,237000,201708
2226,176,242128,201503
2227,140,143212,201807
2228,110,179000,201703
2229,110,222999,201602
2230,140,300897,201612
2231,155,151000,201301
2232,110,216000,2015
2233,162,150575,201508
2234,225,259678,201010
2235,150,276365,201310
2236,230,293000,201204
2237,140,280000,201306
2238,225,322000,201104
2239,225,278000,201108
2240,180,257000,201411
2241,225,362488,201110
2242,135,228685,201411
2243,190,220545,201309
2244,110,202444,201412
2245,125,237000,201708
2246,176,242128,201503
2247,140,143212,201807
2248,110,179000,201703
2249,110,222999,201602
2250,140,300897,201612
2251,155,151000,201301
2252,130,293000,201203
2253,135,208000,201311
2254,110,264736,2013
2255,133,300000,201401
2256,120,188800,201808
2257,271,105363,2014
2258,114,82000,202105
2259,110,215000,201505
2260,110,156000,201601
2261,110,188500,201504
2262,140,222345,201609
2263,110,270000,201308
2264,125,227000,201805
2265,150,303000,201302
2266,140,264585,201411
2267,190,286255,201508
2268,180,244000,201112
2269,224,145000,2013
2270,164,262000,201501
2271,180,250000,201310
2272,130,293000,201203
2273,135,208000,201311
2274,110,264736,2013
2275,133,300000,201401
2276,120,188800,201808
2277,271,105363,2014
2278,114,82000,202105
2279,110,215000,201505
2280,110,156000,201601
2281,110,188500,201504
2282,140,222345,201609
2283,110,270000,201308
2284,125,227000,201805
2285,150,303000,201302
2286,140,264585,201411
2287,190,286255,201508
2288,180,244000,201112
2289,224,145000,2013
2290,164,262000,201501
2291,180,250000,201310
2292,110,289000,201903
2293,177,60000,201609
2294,180,265485,201210
2295,110,162544,202004
2296,180,106000,2016
2297,225,221000,201111
2298,110,73200,201812
2299,125,164900,201704
2300,111,163800,201311
2301,160,318000,201405
2302,135,223000,201406
2303,190,186000,201501
2304,230,287544,201312
2305,160,258775,201502
2306,225,235484,201110
2307,110,274554,201812
2308,110,210562,201905
2309,180,229080,201106
2310,110,176103,201808
2311,160,217000,201604
2312,110,289000,201903
2313,177,60000,201609
2314,180,265485,201210
2315,110,162544,202004
2316,180,106000,2016
2317,225,221000,201111
2318,110,73200,201812
2319,125,164900,201704
2320,111,163800,201311
2321,160,318000,201405
2322,135,223000,201406
2323,190,186000,201501
2324,230,287544,201312
2325,160,258775,201502
2326,225,235484,201110
2327,110,274554,201812
2328,110,210562,201905
2329,180,229080,201106
2330,110,176103,201808
2331,160,217000,201604
2332,180,294000,201307
2333,110,160000,201603
2334,110,163152,202002
2335,110,116585,201904
2336,180,217000,201507
2337,135,320000,201501
2338,138,160000,201711
2339,190,320000,2014
2340,140,260000,201510
2341,190,238000,201409
2342,118,198144,201506
2343,130,77078,201803
2344,140,235000,201205
2345,190,299885,201405
2346,140,272000,201412
2347,110,293000,201506
2348,225,216545,201110
2349,120,247400,201710
2350,150,237585,201012
2351,180,294000,201307
2352,110,160000,201603
2353,110,163152,202002
2354,110,116585,201904
2355,180,217000,201507
2356,135,320000,201501
2357,138,160000,201711
2358,190,320000,2014
2359,140,260000,201510
2360,190,238000,201409
2361,118,198144,201506
2362,130,77078,201803
2363,120,190000,201702
2364,140,235000,201205
2365,190,299885,201405
2366,140,272000,201412
2367,110,293000,201506
2368,225,216545,201110
2369,120,247400,201710
2370,150,237585,201012
2371,140,300000,201504
2372,180,285000,201212
2373,140,208767,201705
2374,110,176026,201805
2375,110,184200,201803
2376,110,207100,201503
2377,225,294572,201011
2378,265,310224,200511
2379,140,252987,201611
2380,180,223587,201212
2381,118,178231,201505
2382,118,280724,2016
2383,228,148050,201202
2384,121,60800,201903
2385,110,90000,201707
2386,190,226400,201511
2387,211,88000,201505
2388,140,202000,201601
2389,110,288000,201812
2390,140,300000,201504
2391,180,285000,201212
2392,140,208767,201705
2393,110,176026,201805
2394,110,184200,201803
2395,110,207100,201503
2396,225,294572,201011
2397,265,310224,200511
2398,140,252987,201611
2399,180,223587,201212
2400,118,178231,201505
2401,118,280724,2016
2402,132,170000,2019
2403,228,148050,201202
2404,121,60800,201903
2405,110,90000,201707
2406,190,226400,201511
2407,211,88000,201505
2408,140,202000,201601
2409,110,288000,201812
2410,135,208000,201302
2411,110,170000,201401
2412,190,309000,201511
2413,188,215000,201804
2414,150,195521,201306
2415,185,272000,201307
2416,158,118916,201309
2417,210,182000,201010
2418,110,178161,201806
2419,160,243000,201604
2420,110,191000,201507
2421,177,232000,200910
2422,225,216554,201011
2423,147,218648,201412
2424,110,265758,201905
2425,230,266033,201409
2426,110,188500,201608
2427,135,208000,201302
2428,110,170000,201401
2429,190,309000,201511
2430,224,298000,201502
2431,188,215000,201804
2432,150,195521,201306
2433,185,272000,201307
2434,158,118916,201309
2435,221,188000,201610
2436,210,182000,201010
2437,110,178161,201806
2438,160,243000,201604
2439,110,191000,201507
2440,177,232000,200910
2441,225,216554,201011
2442,180,152400,2017
2443,147,218648,201412
2444,110,265758,201905
2445,230,266033,201409
2446,110,188500,201608
2447,133,202000,201405
2448,160,226000,201409
2449,147,205000,201303
2450,180,224584,201310
2451,110,32220,201805
2452,130,70800,202001
2453,110,70000,201804
2454,185,299000,201310
2455,185,199999,201407
2456,214,193600,200601
2457,160,293758,201311
2458,140,210000,201806
2459,110,179054,201901
2460,160,249000,201505
2461,110,198400,201502
2462,125,145455,201408
2463,131,127000,2017
2464,135,218150,201401
2465,110,147600,201412
2466,180,273000,201312
2467,133,202000,201405
2468,160,226000,201409
2469,147,205000,201303
2470,180,224584,201310
2471,110,32220,201805
2472,130,70800,202001
2473,110,70000,201804
2474,185,299000,201310
2475,185,199999,201407
2476,214,193600,200601
2477,160,293758,201311
2478,140,210000,201806
2479,110,179054,201901
2480,160,249000,201505
2481,110,198400,201502
2482,125,145455,201408
2483,131,127000,2017
2484,135,218150,201401
2485,110,147600,201412
2486,180,273000,201312
2487,115,130500,201402
2488,190,240586,201506
2489,230,315658,201408
2490,140,322488,201705
2491,190,190000,201310
2492,230,259400,201211
2493,110,148844,201710
2494,160,253000,201510
2495,230,280245,201211
2496,149,159000,201606
2497,125,243000,201502
2498,230,277000,201408
2499,180,147888,201601
2500,195,266500,201207
2501,245,201000,201301
2502,180,142000,201201
2503,135,216863,201701
2504,208,290090,200505
2505,110,186000,201910
2506,190,250995,201312
2507,115,130500,201402
2508,190,240586,201506
2509,230,315658,201408
2510,140,322488,201705
2511,190,190000,201310
2512,230,259400,201211
2513,110,148844,201710
2514,160,253000,201510
2515,230,280245,201211
2516,149,159000,201606
2517,125,243000,201502
2518,230,277000,201408
2519,180,147888,201601
2520,195,266500,201207
2521,245,201000,201301
2522,180,142000,201201
2523,135,216863,201701
2524,208,290090,200505
2525,110,186000,201910
2526,190,250995,201312
2527,225,239025,201212
2528,187,105065,201506
2529,140,137710,201612
2530,112,290000,202005
2531,130,208000,201708
2532,125,141400,201711
2533,110,155681,201712
2534,135,302672,201711
2535,180,117000,201306
2536,125,154000,201709
2537,110,197000,201807
2538,135,244781,201512
2539,180,226000,201304
2540,110,86289,201903
2541,110,97602,201904
2542,110,77088,201903
2543,110,146863,2012
2544,160,244309,201508
2545,177,249000,201002
2546,138,163300,201702
2547,225,239025,201212
2548,187,105065,201506
2549,140,137710,201612
2550,112,290000,202005
2551,130,208000,201708
2552,125,141400,201711
2553,110,155681,201712
2554,135,302672,201711
2555,180,117000,201306
2556,125,154000,201709
2557,110,197000,201807
2558,135,244781,201512
2559,180,226000,201304
2560,110,86289,201903
2561,110,97602,201904
2562,110,77088,201903
2563,110,146863,2012
2564,160,244309,201508
2565,177,249000,201002
2566,138,163300,201702
2567,140,200000,201608
2568,173,144000,200911
2569,173,145000,200911
2570,140,422000,201702
2571,250,222000,201004
2572,110,103700,202007
2573,165,138500,201502
2574,165,230500,201409
2575,135,235000,201512
2576,140,238533,201712
2577,132,165864,201503
2578,186,102000,201606
2579,230,196368,2013
2580,230,241284,201509
2581,230,295878,201412
2582,230,169857,201311
2583,110,191854,201903
2584,230,225000,201311
2585,230,261000,201211
2586,160,242000,201503
2587,140,200000,201608
2588,173,144000,200911
2589,173,145000,200911
2590,140,422000,201702
2591,250,222000,201004
2592,110,103700,202007
2593,165,138500,201502
2594,165,230500,201409
2595,135,235000,201512
2596,140,238533,201712
2597,132,165864,201503
2598,186,102000,201606
2599,230,196368,2013
2600,230,241284,201509
2601,230,295878,201412
2602,230,169857,201311
2603,110,191854,201903
2604,230,225000,201311
2605,230,261000,201211
2606,160,242000,201503
2607,110,199998,202001
2608,245,94260,2014
2609,162,198000,201606
2610,191,73000,201703
2611,110,31000,201808
2612,140,184000,201501
2613,140,121900,201110
2614,200,297000,201510
2615,140,242335,202008
2616,140,246000,201610
2617,155,184000,201406
2618,140,247000,201604
2619,110,161000,201909
2620,135,244965,2014
2621,213,170000,2013
2622,140,228352,201705
2623,147,214587,201606
2624,190,258754,201407
2625,110,199998,202001
2626,245,94260,2014
2627,162,198000,201606
2628,191,73000,201703
2629,110,31000,201808
2630,140,184000,201501
2631,140,121900,201110
2632,200,297000,201510
2633,140,242335,202008
2634,140,246000,201610
2635,155,184000,201406
2636,140,247000,201604
2637,110,161000,201909
2638,170,178200,201803
2639,135,244965,2014
2640,140,179000,201705
2641,213,170000,2013
2642,140,228352,201705
2643,147,214587,201606
2644,190,258754,201407
2645,190,275584,201311
2646,230,218544,201312
2647,110,199000,201907
2648,180,176800,201411
2649,140,244000,201512
2650,110,155000,201804
2651,110,120738,202001
2652,110,92466,201911
2653,135,235701,201610
2654,110,256321,201805
2655,171,270000,201201
2656,140,273750,201601
2657,110,131750,202001
2658,150,65000,2018
2659,140,245000,201502
2660,130,457402,201902
2661,140,275000,201606
2662,230,283000,2014
2663,180,206017,2014
2664,230,249000,201503
2665,190,275584,201311
2666,230,218544,201312
2667,110,199000,201907
2668,180,176800,201411
2669,140,244000,201512
2670,110,155000,201804
2671,110,120738,202001
2672,110,92466,201911
2673,135,235701,201610
2674,110,256321,201805
2675,171,270000,201201
2676,140,273750,201601
2677,110,131750,202001
2678,150,65000,2018
2679,140,245000,201502
2680,130,457402,201902
2681,140,275000,201606
2682,230,283000,2014
2683,180,206017,2014
2684,230,249000,201503
2685,180,265000,201306
2686,110,186836,201902
2687,110,37988,201904
2688,110,312850,201901
2689,140,300000,201509
2690,195,295000,201102
2691,110,167000,201705
2692,158,168557,201401
2693,190,237000,201206
2694,230,235000,201504
2695,225,185000,201112
2696,230,234000,201403
2697,180,100100,201412
2698,132,105000,202001
2699,110,195000,201801
2700,180,182000,201405
2701,180,211545,201111
2702,110,209875,201911
2703,180,265000,201306
2704,110,186836,201902
2705,110,37988,201904
2706,110,312850,201901
2707,140,300000,201509
2708,195,295000,201102
2709,110,167000,201705
2710,158,168557,201401
2711,190,237000,201206
2712,230,235000,201504
2713,225,185000,201112
2714,230,234000,201403
2715,180,100100,201412
2716,125,111325,201610
2717,132,105000,202001
2718,150,100000,201805
2719,110,195000,201801
2720,180,182000,201405
2721,180,211545,201111
2722,110,209875,201911
2723,225,131500,201506
2724,110,75216,201704
2725,110,150453,201909
2726,147,109279,201704
2727,155,117883,2014
2728,150,219706,201407
2729,110,200096,201912
2730,177,196678,201501
2731,306,172700,200801
2732,140,283300,201705
2733,110,113118,201705
2734,118,94692,201512
2735,158,293966,2014
2736,110,84708,201706
2737,160,350000,201409
2738,110,115000,201609
2739,140,160169,201607
2740,155,152400,2015
2741,200,339300,201504
2742,130,107000,201708
2743,225,131500,201506
2744,110,75216,201704
2745,110,150453,201909
2746,147,109279,201704
2747,155,117883,2014
2748,150,219706,201407
2749,110,200096,201912
2750,177,196678,201501
2751,306,172700,200801
2752,140,283300,201705
2753,110,113118,201705
2754,118,94692,201512
2755,158,293966,2014
2756,110,84708,201706
2757,160,350000,201409
2758,110,115000,201609
2759,140,160169,201607
2760,155,152400,2015
2761,200,339300,201504
2762,110,250000,201805
2763,165,213000,201703
2764,140,303575,201611
2765,225,240000,201008
2766,110,219000,201902
2767,230,176000,201311
2768,150,172530,201504
2769,162,189900,201511
2770,120,33777,202008
2771,135,92411,201409
2772,140,313000,201812
2773,183,230200,201301
2774,110,233000,201703
2775,294,298500,201101
2776,184,196810,201310
2777,140,187000,201602
2778,155,116687,201507
2779,191,50515,201601
2780,180,228000,201303
2781,110,142507,201906
2782,110,250000,201805
2783,165,213000,201703
2784,140,303575,201611
2785,225,240000,201008
2786,110,219000,201902
2787,230,176000,201311
2788,150,172530,201504
2789,162,189900,201511
2790,120,33777,202008
2791,135,92411,201409
2792,140,313000,201812
2793,183,230200,201301
2794,110,233000,201703
2795,294,298500,201101
2796,184,196810,201310
2797,140,187000,201602
2798,155,116687,201507
2799,191,50515,201601
2800,180,228000,201303
2801,110,142507,201906
2802,120,173832,201401
2803,135,156000,201801
2804,155,203900,201112
2805,216,272000,201403
2806,110,220104,201703
2807,160,181000,201512
2808,155,72691,2017
2809,111,64400,201606
2810,230,312545,201309
2811,225,276545,201303
2812,225,254244,201110
2813,140,224558,201512
2814,132,47000,2018
2815,140,185350,201711
2816,170,175000,201306
2817,110,151438,201911
2818,162,184682,201512
2819,149,71180,201701
2820,195,290000,201309
2821,120,173832,201401
2822,135,156000,201801
2823,155,203900,201112
2824,170,111286,2014
2825,216,272000,201403
2826,110,220104,201703
2827,160,181000,201512
2828,155,72691,2017
2829,111,64400,201606
2830,230,312545,201309
2831,225,276545,201303
2832,225,254244,201110
2833,140,224558,201512
2834,132,47000,2018
2835,140,185350,201711
2836,170,175000,201306
2837,110,151438,201911
2838,162,184682,201512
2839,149,71180,201701
2840,195,290000,201309
2841,130,248000,201911
2842,140,108000,201609
2843,130,248000,201912
2844,133,170500,201612
2845,120,120550,201803
2846,110,239220,201905
2847,190,298000,201604
2848,118,174615,201711
2849,125,113350,201807
2850,185,232000,201701
2851,190,271450,201604
2852,110,194000,202101
2853,190,269000,201511
2854,221,181250,2012
2855,220,114277,201310
2856,245,190000,201607
2857,246,131000,201607
2858,110,208211,202007
2859,110,141648,201801
2860,130,248000,201911
2861,140,108000,201609
2862,130,248000,201912
2863,133,170500,201612
2864,120,120550,201803
2865,110,239220,201905
2866,190,298000,201604
2867,245,130000,2016
2868,118,174615,201711
2869,125,113350,201807
2870,185,232000,201701
2871,190,271450,201604
2872,110,194000,202101
2873,190,269000,201511
2874,221,181250,2012
2875,220,114277,201310
2876,245,190000,201607
2877,246,131000,201607
2878,110,208211,202007
2879,110,141648,201801
2880,195,264584,201111
2881,132,189345,201610
2882,110,192777,201711
2883,230,203875,201411
2884,120,98850,201806
2885,150,191500,201512
2886,190,298000,201402
2887,190,315435,201510
2888,110,101073,201811
2889,110,147344,201811
2890,140,214428,201902
2891,160,235490,201511
2892,110,124500,201805
2893,110,272063,201906
2894,220,189000,201211
2895,110,213390,201802
2896,115,39750,201705
2897,149,47642,201807
2898,200,151209,201605
2899,160,189300,201510
2900,195,264584,201111
2901,132,189345,201610
2902,110,192777,201711
2903,230,203875,201411
2904,120,98850,201806
2905,150,191500,201512
2906,190,298000,201402
2907,190,315435,201510
2908,110,101073,201811
2909,110,147344,201811
2910,140,214428,201902
2911,160,235490,201511
2912,110,124500,201805
2913,110,272063,201906
2914,220,189000,201211
2915,110,213390,201802
2916,115,39750,201705
2917,149,47642,201807
2918,200,151209,201605
2919,160,189300,201510
2920,110,40420,201905
2921,110,145010,201705
2922,114,199000,201605
2923,132,198300,201911
2924,110,219779,201708
2925,300,202122,201401
2926,176,190248,201607
2927,143,84000,201901
2928,225,143000,201401
2929,140,215000,201712
2930,225,185250,201112
2931,150,129000,201601
2932,110,177000,202102
2933,110,175098,202011
2934,110,66600,202007
2935,230,396329,201305
2936,110,83298,201806
2937,185,217000,201601
2938,280,253284,201503
2939,145,224200,201610
2940,110,40420,201905
2941,110,145010,201705
2942,114,199000,201605
2943,132,198300,201911
2944,110,219779,201708
2945,300,202122,201401
2946,176,190248,201607
2947,143,84000,201901
2948,225,143000,201401
2949,140,215000,201712
2950,225,185250,201112
2951,150,129000,201601
2952,110,177000,202102
2953,110,175098,202011
2954,110,66600,202007
2955,230,396329,201305
2956,110,83298,201806
2957,185,217000,201601
2958,280,253284,201503
2959,145,224200,201610
2960,110,196200,201706
2961,135,145678,202007
2962,135,293000,201406
2963,118,39140,201609
2964,180,94000,201601
2965,180,210087,201406
2966,110,188300,201907
2967,180,199000,201204
2968,110,188000,201908
2969,110,68247,201908
2970,230,260000,2012
2971,220,250000,201212
2972,280,335000,201301
2973,110,32000,202103
2974,176,365000,2007
2975,110,20000,201912
2976,160,170817,201712
2977,140,270859,201906
2978,110,97000,201805
2979,129,76500,201801
2980,110,196200,201706
2981,135,145678,202007
2982,135,293000,201406
2983,118,39140,201609
2984,180,94000,201601
2985,180,210087,201406
2986,110,188300,201907
2987,180,199000,201204
2988,110,188000,201908
2989,110,68247,201908
2990,230,260000,2012
2991,220,250000,201212
2992,280,335000,201301
2993,110,32000,202103
2994,176,365000,2007
2995,110,20000,201912
2996,160,170817,201712
2997,140,270859,201906
2998,110,97000,201805
2999,129,76500,201801
3000,130,271000,202007
3001,200,213300,201602
3002,125,104000,201812
3003,190,250058,201403
3004,200,261554,201711
3005,110,115875,201810
3006,280,217320,201305
3007,120,133360,201706
3008,190,213945,201511
3009,160,145949,202008
3010,230,253150,201405
3011,120,244289,201410
3012,180,228000,201207
3013,120,344000,201208
3014,306,184000,201312
3015,110,89650,201911
3016,121,246800,201708
3017,176,202736,201402
3018,180,249000,201210
3019,140,146400,201605
3020,130,271000,202007
3021,200,213300,201602
3022,125,104000,201812
3023,190,250058,201403
3024,200,261554,201711
3025,110,115875,201810
3026,280,217320,201305
3027,120,133360,201706
3028,190,213945,201511
3029,160,145949,202008
3030,230,253150,201405
3031,120,244289,201410
3032,180,228000,201207
3033,120,344000,201208
3034,306,184000,201312
3035,110,89650,201911
3036,121,246800,201708
3037,176,202736,201402
3038,180,249000,201210
3039,140,146400,201605
3040,110,105000,201705
3041,110,157652,201706
3042,158,237000,201406
3043,140,159000,201804
3044,180,65460,201601
3045,121,89700,201710
3046,133,130014,201510
3047,180,53141,201606
3048,147,297000,201503
3049,110,177300,201707
3050,110,73000,201802
3051,110,245123,201906
3052,110,42505,201910
3053,130,185300,201806
3054,132,198543,201610
3055,140,359688,201909
3056,190,195447,201507
3057,140,136200,201907
3058,133,74200,201902
3059,132,280000,201201
3060,110,105000,201705
3061,110,157652,201706
3062,158,237000,201406
3063,140,159000,201804
3064,180,65460,201601
3065,121,89700,201710
3066,133,130014,201510
3067,180,53141,201606
3068,147,297000,201503
3069,110,177300,201707
3070,110,73000,201802
3071,110,245123,201906
3072,110,42505,201910
3073,130,185300,201806
3074,132,198543,201610
3075,140,359688,201909
3076,190,195447,201507
3077,140,136200,201907
3078,133,74200,201902
3079,132,280000,201201
3080,136,70273,201601
3081,225,247448,201501
3082,215,77000,2016
3083,196,69966,2015
3084,141,87280,201701
3085,127,253000,200912
3086,130,100044,201911
3087,110,172000,201806
3088,140,174200,201904
3089,175,145000,201505
3090,164,145000,201603
3091,130,208000,201911
3092,110,193284,201703
3093,112,71150,201804
3094,110,184014,202003
3095,118,5000,202309
3096,224,115000,201501
3097,202,115000,201710
3098,150,97000,202012
3099,140,268800,201608
3100,136,70273,201601
3101,225,247448,201501
3102,215,77000,2016
3103,196,69966,2015
3104,141,87280,201701
3105,127,253000,200912
3106,130,100044,201911
3107,110,172000,201806
3108,140,174200,201904
3109,175,145000,201505
3110,164,145000,201603
3111,130,208000,201911
3112,110,193284,201703
3113,112,71150,201804
3114,110,184014,202003
3115,118,5000,202309
3116,224,115000,201501
3117,202,115000,201710
3118,150,97000,202012
3119,140,268800,201608
3120,110,97832,201702
3121,110,67479,202106
3122,300,162000,201212
3123,180,51000,201501
3124,110,115000,2019
3125,110,170000,201805
3126,140,195500,201703
3127,140,195500,201703
3128,110,150366,201810
3129,140,205000,201906
3130,140,277545,201506
3131,191,102435,201811
3132,135,170758,201503
3133,114,161776,201606
3134,140,129785,201907
3135,117,73725,201910
3136,176,296000,201705
3137,110,172200,201903
3138,125,97150,201909
3139,140,228545,201909
3140,110,97832,201702
3141,110,67479,202106
3142,300,162000,201212
3143,180,51000,201501
3144,110,115000,2019
3145,110,170000,201805
3146,140,195500,201703
3147,140,195500,201703
3148,110,150366,201810
3149,140,205000,201906
3150,140,277545,201506
3151,191,102435,201811
3152,135,170758,201503
3153,114,161776,201606
3154,140,129785,201907
3155,117,73725,201910
3156,176,296000,201705
3157,110,172200,201903
3158,125,97150,201909
3159,140,228545,201909
3160,110,46694,202007
3161,235,243900,201506
3162,140,166300,201912
3163,221,177054,201607
3164,145,249000,201512
3165,132,131336,201704
3166,110,289000,2018
3167,110,63700,201907
3168,190,181000,201206
3169,125,251350,201509
3170,221,230000,2014
3171,110,22800,202201
3172,110,158883,201903
3173,140,228000,201504
3174,220,241528,201204
3175,135,242000,201802
3176,200,195570,201511
3177,129,159500,2018
3178,110,46694,202007
3179,235,243900,201506
3180,140,166300,201912
3181,221,177054,201607
3182,145,249000,201512
3183,132,131336,201704
3184,110,289000,2018
3185,110,63700,201907
3186,190,181000,201206
3187,125,251350,201509
3188,221,230000,2014
3189,110,22800,202201
3190,110,158883,201903
3191,140,228000,201504
3192,220,241528,201204
3193,135,242000,201802
3194,206,181000,201610
3195,200,195570,201511
3196,283,280000,2015
3197,129,159500,2018
3198,137,125707,201801
3199,139,76464,201801
3200,165,128600,201711
3201,180,315000,201205
3202,193,277146,201412
3203,132,151188,201703
3204,110,157639,202010
3205,150,144000,201908
3206,230,240000,201412
3207,183,200000,201305
3208,174,154900,2019
3209,110,55582,201911
3210,145,159484,201607
3211,135,75800,201806
3212,110,213446,201905
3213,250,105370,201506
3214,213,132300,201604
3215,169,85900,201704
3216,134,89900,201901
3217,165,143000,201707
3218,137,125707,201801
3219,139,76464,201801
3220,165,128600,201711
3221,180,315000,201205
3222,193,277146,201412
3223,132,151188,201703
3224,110,157639,202010
3225,150,144000,201908
3226,230,240000,201412
3227,183,200000,201305
3228,174,154900,2019
3229,110,55582,201911
3230,145,159484,201607
3231,135,75800,201806
3232,110,213446,201905
3233,250,105370,201506
3234,213,132300,201604
3235,169,85900,201704
3236,134,89900,201901
3237,165,143000,201707
3238,140,200000,202008
3239,180,156000,201601
3240,190,286627,201501
3241,132,176000,201703
3242,110,98300,202001
3243,117,83292,201905
3244,110,107112,201809
3245,110,93160,201907
3246,243,184850,201706
3247,140,210000,201707
3248,110,18400,202109
3249,190,168000,201309
3250,117,43153,202204
3251,130,108500,201905
3252,175,72858,201503
3253,110,108400,201904
3254,160,150000,201704
3255,136,150000,201906
3256,216,119112,201807
3257,140,200000,202008
3258,180,156000,201601
3259,190,286627,201501
3260,132,176000,201703
3261,110,98300,202001
3262,117,83292,201905
3263,110,107112,201809
3264,110,93160,201907
3265,243,184850,201706
3266,140,210000,201707
3267,110,18400,202109
3268,190,168000,201309
3269,117,43153,202204
3270,130,108500,201905
3271,175,72858,201503
3272,110,108400,201904
3273,150,44000,201901
3274,160,150000,201704
3275,136,150000,201906
3276,216,119112,201807
3277,136,150000,201906
3278,140,348000,201902
3279,140,125538,201802
3280,110,118000,202107
3281,129,113559,201906
3282,110,42430,201909
3283,220,200000,201312
3284,132,31800,202106
3285,160,185100,202104
3286,135,88284,201909
3287,147,255375,201707
3288,175,80500,201512
3289,140,201000,201807
3290,170,140000,201601
3291,154,256795,201702
3292,110,110074,202001
3293,110,51720,201802
3294,160,115832,201806
3295,130,228900,2015
3296,190,174000,201302
3297,136,150000,201906
3298,140,348000,201902
3299,140,125538,201802
3300,110,118000,202107
3301,129,113559,201906
3302,110,42430,201909
3303,220,200000,201312
3304,132,31800,202106
3305,160,185100,202104
3306,135,88284,201909
3307,147,255375,201707
3308,175,80500,201512
3309,140,201000,201807
3310,170,140000,201601
3311,154,256795,201702
3312,110,110074,202001
3313,110,51720,201802
3314,160,115832,201806
3315,130,228900,2015
3316,190,174000,201302
3317,110,90525,201903
3318,190,248000,201805
3319,190,217000,2016
3320,215,208000,201407
3321,112,137100,201602
3322,150,158540,201901
3323,110,135000,202003
3324,114,102500,201608
3325,134,39839,201906
3326,110,31784,202105
3327,110,40309,202008
3328,133,80303,202001
3329,266,230500,201403
3330,135,19000,202011
3331,118,25400,202210
3332,140,144000,201705
3333,117,79000,202002
3334,180,181500,201709
3335,121,82800,201712
3336,225,131338,201601
3337,110,90525,201903
3338,190,248000,201805
3339,190,217000,2016
3340,215,208000,201407
3341,112,137100,201602
3342,150,158540,201901
3343,110,135000,202003
3344,114,102500,201608
3345,134,39839,201906
3346,110,31784,202105
3347,110,40309,202008
3348,133,80303,202001
3349,266,230500,201403
3350,135,19000,202011
3351,118,25400,202210
3352,140,144000,201705
3353,117,79000,202002
3354,180,181500,201709
3355,121,82800,201712
3356,225,131338,201601
3357,257,52238,201601
3358,130,134200,201812
3359,175,34587,201606
3360,140,260000,201708
3361,140,219000,201709
3362,110,13000,202112
3363,150,85700,202105
3364,135,16500,202110
3365,135,284000,201911
3366,137,75423,201701
3367,110,130000,202009
3368,110,194500,201901
3369,125,125780,201801
3370,110,113700,202011
3371,143,148000,201910
3372,113,3500,202205
3373,110,172000,201804
3374,126,1,2024
3375,257,52238,201601
3376,130,134200,201812
3377,175,34587,201606
3378,140,260000,201708
3379,140,219000,201709
3380,110,13000,202112
3381,150,85700,202105
3382,135,16500,202110
3383,135,284000,201911
3384,110,51200,202201
3385,137,75423,201701
3386,110,130000,202009
3387,110,194500,201901
3388,125,125780,201801
3389,110,113700,202011
3390,143,148000,201910
3391,113,3500,202205
3392,214,68000,201905
3393,110,172000,201804
3394,110,6284,202112
3395,130,77400,201905
