,kW,Rida,Gamybos_metai
847,127,224000,200712
848,120,279500,201205
849,110,201200,201112
850,120,315600,200707
851,110,378000,200712
852,188,110350,201001
853,230,315500,200712
854,118,195815,200910
855,118,236570,200811
856,171,454465,200609
857,132,282000,200812
858,225,305000,200610
859,115,239126,2011
860,165,249000,200702
861,172,238000,2008
862,120,254000,201308
863,173,303000,200712
864,130,245000,200709
865,120,205400,201210
866,125,338120,201206
867,118,173633,200907
868,165,322000,200611
869,110,229356,201405
870,180,269765,201103
871,110,378000,200712
872,188,110350,201001
873,230,315500,200712
874,118,195815,200910
875,118,236570,200811
876,171,454465,200609
877,132,282000,200812
878,225,305000,200610
879,115,239126,2011
880,165,249000,200702
881,172,238000,2008
882,120,254000,201308
883,173,303000,200712
884,130,245000,200709
885,120,205400,201210
886,125,338120,201206
887,118,173633,200907
888,165,322000,200611
889,110,229356,201405
890,180,269765,201103
891,125,300000,200906
892,118,203733,201105
893,120,201000,200701
894,250,313000,200712
895,169,210000,2005
896,177,272000,200911
897,160,324828,200511
898,149,260000,201110
899,125,210000,201012
900,127,249772,201101
901,123,282369,201101
902,205,209820,200807
903,235,188000,200610
904,140,264500,200602
905,130,282000,200811
906,120,269264,201202
907,125,386000,200711
908,221,164744,2008
909,130,271825,200911
910,125,300000,200906
911,118,203733,201105
912,120,201000,200701
913,250,313000,200712
914,169,210000,2005
915,177,272000,200911
916,160,324828,200511
917,149,260000,201110
918,125,210000,201012
919,127,249772,201101
920,123,282369,201101
921,205,209820,200807
922,235,188000,200610
923,130,210568,200812
924,140,264500,200602
925,130,282000,200811
926,120,269264,201202
927,125,386000,200711
928,221,164744,2008
929,130,271825,200911
930,118,219829,200809
931,125,212000,201010
932,202,178544,2011
933,130,261554,200810
934,140,350657,200912
935,143,244254,201212
936,120,270805,201311
937,173,328000,200705
938,120,265000,201103
939,130,325208,200910
940,110,159000,2012
941,143,252956,2013
942,128,231000,200712
943,147,343100,2008
944,125,301838,2013
945,140,307772,2010
946,120,216000,201510
947,120,205000,201411
948,120,234523,201112
949,200,250000,2008
950,118,219829,200809
951,125,212000,201010
952,202,178544,2011
953,130,261554,200810
954,140,350657,200912
955,143,244254,201212
956,120,270805,201311
957,173,328000,200705
958,120,265000,201103
959,130,325208,200910
960,110,159000,2012
961,143,252956,2013
962,128,231000,200712
963,147,343100,2008
964,125,301838,2013
965,140,307772,2010
966,120,216000,201510
967,120,205000,201411
968,120,234523,201112
969,200,250000,2008
970,110,117000,2008
971,165,303264,200906
972,153,283291,200701
973,135,185000,201107
974,110,279000,201208
975,120,190000,201407
976,120,147000,201512
977,120,186462,201111
978,171,234753,200812
979,140,320000,200603
980,118,116000,200909
981,110,239000,201412
982,118,227555,201112
983,140,288094,2010
984,118,310000,201007
985,217,244000,200812
986,110,300000,200812
987,110,294000,201710
988,115,198544,2008
989,110,117000,2008
990,165,303264,200906
991,153,283291,200701
992,135,185000,201107
993,110,279000,201208
994,120,190000,201407
995,120,147000,201512
996,120,186462,201111
997,171,234753,200812
998,140,320000,200603
999,118,116000,200909
1000,110,239000,201412
1001,118,227555,201112
1002,140,288094,2010
1003,170,245000,200712
1004,118,310000,201007
1005,217,244000,200812
1006,110,300000,200812
1007,110,294000,201710
1008,115,198544,2008
1009,147,220000,201112
1010,171,178000,200612
1011,180,331310,2011
1012,120,286568,201307
1013,135,203292,201210
1014,147,182943,2013
1015,160,271324,2005
1016,112,303857,201404
1017,130,200000,201407
1018,128,192830,200805
1019,1000,259741,201511
1020,135,347106,2010
1021,225,330000,200803
1022,170,274512,200904
1023,130,309887,201004
1024,147,249552,201211
1025,204,197200,2009
1026,136,1,200711
1027,147,220000,201112
1028,171,178000,200612
1029,180,331310,2011
1030,118,264370,200906
1031,120,286568,201307
1032,135,203292,201210
1033,147,182943,2013
1034,160,271324,2005
1035,112,303857,201404
1036,130,200000,201407
1037,120,169375,201304
1038,128,192830,200805
1039,1000,259741,201511
1040,135,347106,2010
1041,225,330000,200803
1042,170,274512,200904
1043,130,309887,201004
1044,147,249552,201211
1045,204,197200,2009
1046,120,242000,2010
1047,171,265000,200902
1048,114,217130,200912
1049,125,325000,201202
1050,136,342000,200805
1051,120,215000,201409
1052,135,278000,201207
1053,165,264000,200704
1054,120,319000,201011
1055,150,246000,201002
1056,120,255623,201202
1057,140,305365,201106
1058,110,286000,200910
1059,151,338269,200910
1060,125,329336,201109
1061,135,305966,201210
1062,140,308540,201103
1063,110,247000,201011
1064,120,242000,2010
1065,176,310000,2007
1066,171,265000,200902
1067,114,217130,200912
1068,125,325000,201202
1069,136,342000,200805
1070,120,215000,201409
1071,135,278000,201207
1072,165,264000,200704
1073,120,319000,201011
1074,150,246000,201002
