,k
1870,11500.0
1871,11500.0
1872,11500.0
1873,11500.0
1874,11500.0
1875,11500.0
1876,11500.0
1877,11500.0
1878,11500.0
1879,11500.0
1880,11250.0
1881,11250.0
1882,11300.0
1883,11300.0
1884,11300.0
1885,11400.0
1886,11450.0
1887,11500.0
1888,11500.0
1889,11500.0
1890,11500.0
1891,11500.0
1892,11500.0
1893,11500.0
1894,11500.0
1895,11500.0
1896,11500.0
1897,11500.0
1898,11500.0
1899,11550.0
1900,11550.0
1901,11600.0
1902,11600.0
1903,11650.0
1904,11650.0
1905,11650.0
1906,11650.0
1907,11700.0
1908,11700.0
1909,11700.0
1910,11750.0
1911,11750.0
1912,11750.0
1913,11750.0
1914,11799.0
1915,11800.0
1916,11800.0
1917,11800.0
1918,11800.0
1919,11550.0
1920,11600.0
1921,11600.0
1922,11650.0
1923,11650.0
1924,11650.0
1925,11650.0
1926,11700.0
1927,11700.0
1928,11700.0
1929,11700.0
1930,11750.0
1931,11750.0
1932,11750.0
1933,11750.0
1934,11799.0
1935,11800.0
1936,11800.0
1937,11800.0
1938,11800.0
1939,11800.0
1940,11850.0
1941,11850.0
1942,11900.0
1943,11900.0
1944,11900.0
1945,11900.0
1946,11900.0
1947,11900.0
1948,11900.0
1949,11900.0
1950,11900.0
1951,11900.0
1952,11900.0
1953,11900.0
1954,11900.0
1955,11900.0
1956,11950.0
1957,11950.0
1958,11800.0
1959,11850.0
1960,11850.0
1961,11900.0
1962,11900.0
1963,11900.0
1964,11900.0
1965,11900.0
1966,11900.0
1967,11900.0
1968,11900.0
1969,11900.0
1970,11900.0
1971,11900.0
1972,11900.0
1973,11900.0
1974,11900.0
1975,11950.0
1976,11950.0
1977,11950.0
1978,11950.0
1979,11950.0
1980,11950.0
1981,11950.0
1982,11950.0
1983,11950.0
1984,11950.0
1985,11979.0
1986,11990.0
1987,11990.0
1988,11990.0
1989,11991.0
1990,11999.0
1991,11999.0
1992,11999.0
1993,11999.0
1994,11999.0
1995,11999.0
1996,11999.0
1997,11950.0
1998,11950.0
1999,11950.0
2000,11950.0
2001,11950.0
2002,11950.0
2003,11950.0
2004,11979.0
2005,11990.0
2006,11990.0
2007,11990.0
2008,11991.0
2009,11999.0
2010,11999.0
2011,11999.0
2012,11999.0
2013,11999.0
2014,11999.0
2015,11999.0
2016,11999.0
2017,11999.0
2018,11999.0
2019,11999.0
2020,12000.0
2021,12000.0
2022,12000.0
2023,12000.0
2024,12000.0
2025,12100.0
2026,12200.0
2027,12200.0
2028,12250.0
2029,12250.0
2030,12300.0
2031,12300.0
2032,12350.0
2033,12350.0
2034,12350.0
2035,11999.0
2036,11999.0
2037,11999.0
2038,12000.0
2039,12000.0
2040,12000.0
2041,12000.0
2042,12000.0
2043,12000.0
2044,12100.0
2045,12200.0
2046,12200.0
2047,12250.0
2048,12250.0
2049,12300.0
2050,12300.0
2051,12350.0
2052,12350.0
2053,12350.0
2054,12350.0
2055,12399.0
2056,12400.0
2057,12400.0
2058,12400.0
2059,12400.0
2060,12450.0
2061,12490.0
2062,12490.0
2063,12500.0
2064,12500.0
2065,12500.0
2066,12500.0
2067,12500.0
2068,12500.0
2069,12500.0
2070,12500.0
2071,12500.0
2072,12500.0
2073,12500.0
2074,12500.0
2075,12399.0
2076,12400.0
2077,12400.0
2078,12400.0
2079,12400.0
2080,12450.0
2081,12490.0
2082,12490.0
2083,12500.0
2084,12500.0
2085,12500.0
2086,12500.0
2087,12500.0
2088,12500.0
2089,12500.0
2090,12500.0
2091,12500.0
2092,12500.0
2093,12500.0
2094,12500.0
2095,12598.0
2096,12600.0
2097,12650.0
2098,12650.0
2099,12690.0
2100,12700.0
2101,12700.0
2102,12700.0
2103,12750.0
2104,12750.0
2105,12750.0
2106,12800.0
2107,12800.0
2108,12800.0
2109,12800.0
2110,12800.0
2111,12850.0
2112,12598.0
2113,12600.0
2114,12600.0
2115,12650.0
2116,12650.0
2117,12690.0
2118,12700.0
2119,12700.0
2120,12700.0
2121,12750.0
2122,12750.0
2123,12750.0
2124,12799.0
2125,12800.0
2126,12800.0
2127,12800.0
2128,12800.0
2129,12800.0
2130,12800.0
2131,12850.0
2132,12850.0
2133,12850.0
2134,12888.0
2135,12900.0
2136,12900.0
2137,12900.0
2138,12900.0
2139,12900.0
2140,12950.0
2141,12950.0
2142,12950.0
2143,12950.0
2144,12950.0
2145,12950.0
2146,12950.0
2147,12950.0
2148,12950.0
2149,12990.0
2150,12999.0
2151,12999.0
2152,12850.0
2153,12850.0
2154,12888.0
2155,12900.0
2156,12900.0
2157,12900.0
2158,12900.0
2159,12900.0
2160,12950.0
2161,12950.0
2162,12950.0
2163,12950.0
2164,12950.0
2165,12950.0
2166,12950.0
2167,12950.0
2168,12950.0
2169,12990.0
2170,12999.0
2171,12999.0
2172,12999.0
2173,12999.0
2174,12999.0
2175,12999.0
2176,12999.0
2177,12999.0
2178,12999.0
2179,12999.0
2180,13000.0
2181,13000.0
2182,13000.0
2183,13100.0
2184,13199.0
2185,13200.0
2186,13200.0
2187,13250.0
2188,13250.0
2189,13250.0
2190,13250.0
2191,13250.0
2192,12999.0
2193,12999.0
2194,12999.0
2195,12999.0
2196,12999.0
2197,12999.0
2198,12999.0
2199,12999.0
2200,13000.0
2201,13000.0
2202,13000.0
2203,13100.0
2204,13199.0
2205,13200.0
2206,13200.0
2207,13250.0
2208,13250.0
2209,13250.0
2210,13250.0
2211,13250.0
2212,13300.0
2213,13350.0
2214,13350.0
2215,13350.0
2216,13399.0
2217,13400.0
2218,13450.0
2219,13450.0
2220,13450.0
2221,13450.0
2222,13450.0
2223,13450.0
2224,13450.0
2225,13499.0
2226,13499.0
2227,13500.0
2228,13500.0
2229,13500.0
2230,13500.0
2231,13500.0
2232,13300.0
2233,13350.0
2234,13350.0
2235,13350.0
2236,13399.0
2237,13400.0
2238,13450.0
2239,13450.0
2240,13450.0
2241,13450.0
2242,13450.0
2243,13450.0
2244,13450.0
2245,13499.0
2246,13499.0
2247,13500.0
2248,13500.0
2249,13500.0
2250,13500.0
2251,13500.0
2252,13500.0
2253,13500.0
2254,13500.0
2255,13500.0
2256,13500.0
2257,13500.0
2258,13500.0
2259,13500.0
2260,13500.0
2261,13590.0
2262,13599.0
2263,13600.0
2264,13600.0
2265,13600.0
2266,13650.0
2267,13650.0
2268,13650.0
2269,13699.0
2270,13700.0
2271,13750.0
2272,13500.0
2273,13500.0
2274,13500.0
2275,13500.0
2276,13500.0
2277,13500.0
2278,13500.0
2279,13500.0
2280,13500.0
2281,13590.0
2282,13599.0
2283,13600.0
2284,13600.0
2285,13600.0
2286,13650.0
2287,13650.0
2288,13650.0
2289,13699.0
2290,13700.0
2291,13750.0
2292,13750.0
2293,13750.0
2294,13750.0
2295,13750.0
2296,13790.0
2297,13799.0
2298,13800.0
2299,13800.0
2300,13800.0
2301,13850.0
2302,13850.0
2303,13850.0
2304,13850.0
2305,13850.0
2306,13850.0
2307,13850.0
2308,13850.0
2309,13850.0
2310,13900.0
2311,13900.0
2312,13750.0
2313,13750.0
2314,13750.0
2315,13750.0
2316,13790.0
2317,13799.0
2318,13800.0
2319,13800.0
2320,13800.0
2321,13850.0
2322,13850.0
2323,13850.0
2324,13850.0
2325,13850.0
2326,13850.0
2327,13850.0
2328,13850.0
2329,13850.0
2330,13900.0
2331,13900.0
2332,13900.0
2333,13900.0
2334,13900.0
2335,13900.0
2336,13900.0
2337,13900.0
2338,13900.0
2339,13900.0
2340,13900.0
2341,13900.0
2342,13900.0
2343,13900.0
2344,13950.0
2345,13950.0
2346,13950.0
2347,13950.0
2348,13950.0
2349,13950.0
2350,13950.0
2351,13900.0
2352,13900.0
2353,13900.0
2354,13900.0
2355,13900.0
2356,13900.0
2357,13900.0
2358,13900.0
2359,13900.0
2360,13900.0
2361,13900.0
2362,13900.0
2363,13900.0
2364,13950.0
2365,13950.0
2366,13950.0
2367,13950.0
2368,13950.0
2369,13950.0
2370,13950.0
2371,13950.0
2372,13950.0
2373,13950.0
2374,13950.0
2375,13990.0
2376,13995.0
2377,13999.0
2378,13999.0
2379,13999.0
2380,13999.0
2381,13999.0
2382,13999.0
2383,14000.0
2384,14000.0
2385,14000.0
2386,14000.0
2387,14000.0
2388,14000.0
2389,14000.0
2390,13950.0
2391,13950.0
2392,13950.0
2393,13950.0
2394,13990.0
2395,13995.0
2396,13999.0
2397,13999.0
2398,13999.0
2399,13999.0
2400,13999.0
2401,13999.0
2402,14000.0
2403,14000.0
2404,14000.0
2405,14000.0
2406,14000.0
2407,14000.0
2408,14000.0
2409,14000.0
2410,14000.0
2411,14150.0
2412,14200.0
2413,14200.0
2414,14200.0
2415,14250.0
2416,14250.0
2417,14300.0
2418,14300.0
2419,14300.0
2420,14300.0
2421,14328.0
2422,14350.0
2423,14350.0
2424,14350.0
2425,14350.0
2426,14400.0
2427,14000.0
2428,14150.0
2429,14200.0
2430,14200.0
2431,14200.0
2432,14200.0
2433,14250.0
2434,14250.0
2435,14297.0
2436,14300.0
2437,14300.0
2438,14300.0
2439,14300.0
2440,14328.0
2441,14350.0
2442,14350.0
2443,14350.0
2444,14350.0
2445,14350.0
2446,14400.0
2447,14400.0
2448,14450.0
2449,14450.0
2450,14450.0
2451,14490.0
2452,14490.0
2453,14499.0
2454,14499.0
2455,14499.0
2456,14499.0
2457,14500.0
2458,14500.0
2459,14500.0
2460,14500.0
2461,14500.0
2462,14500.0
2463,14500.0
2464,14500.0
2465,14550.0
2466,14600.0
2467,14400.0
2468,14450.0
2469,14450.0
2470,14450.0
2471,14490.0
2472,14490.0
2473,14499.0
2474,14499.0
2475,14499.0
2476,14499.0
2477,14500.0
2478,14500.0
2479,14500.0
2480,14500.0
2481,14500.0
2482,14500.0
2483,14500.0
2484,14500.0
2485,14550.0
2486,14600.0
2487,14600.0
2488,14650.0
2489,14650.0
2490,14650.0
2491,14699.0
2492,14700.0
2493,14700.0
2494,14700.0
2495,14750.0
2496,14750.0
2497,14799.0
2498,14799.0
2499,14799.0
2500,14800.0
2501,14800.0
2502,14800.0
2503,14800.0
2504,14800.0
2505,14850.0
2506,14850.0
2507,14600.0
2508,14650.0
2509,14650.0
2510,14650.0
2511,14699.0
2512,14700.0
2513,14700.0
2514,14700.0
2515,14750.0
2516,14750.0
2517,14799.0
2518,14799.0
2519,14799.0
2520,14800.0
2521,14800.0
2522,14800.0
2523,14800.0
2524,14800.0
2525,14850.0
2526,14850.0
2527,14888.0
2528,14890.0
2529,14899.0
2530,14900.0
2531,14900.0
2532,14900.0
2533,14900.0
2534,14900.0
2535,14900.0
2536,14900.0
2537,14900.0
2538,14900.0
2539,14950.0
2540,14950.0
2541,14950.0
2542,14950.0
2543,14950.0
2544,14950.0
2545,14950.0
2546,14950.0
2547,14888.0
2548,14890.0
2549,14899.0
2550,14900.0
2551,14900.0
2552,14900.0
2553,14900.0
2554,14900.0
2555,14900.0
2556,14900.0
2557,14900.0
2558,14900.0
2559,14950.0
2560,14950.0
2561,14950.0
2562,14950.0
2563,14950.0
2564,14950.0
2565,14950.0
2566,14950.0
2567,14950.0
2568,14950.0
2569,14950.0
2570,14950.0
2571,14950.0
2572,14950.0
2573,14990.0
2574,14990.0
2575,14990.0
2576,14990.0
2577,14999.0
2578,14999.0
2579,14999.0
2580,14999.0
2581,14999.0
2582,14999.0
2583,14999.0
2584,14999.0
2585,14999.0
2586,14999.0
2587,14950.0
2588,14950.0
2589,14950.0
2590,14950.0
2591,14950.0
2592,14950.0
2593,14990.0
2594,14990.0
2595,14990.0
2596,14990.0
2597,14999.0
2598,14999.0
2599,14999.0
2600,14999.0
2601,14999.0
2602,14999.0
2603,14999.0
2604,14999.0
2605,14999.0
2606,14999.0
2607,14999.0
2608,15000.0
2609,15100.0
2610,15100.0
2611,15200.0
2612,15200.0
2613,15200.0
2614,15250.0
2615,15299.0
2616,15299.0
2617,15300.0
2618,15300.0
2619,15300.0
2620,15400.0
2621,15400.0
2622,15450.0
2623,15450.0
2624,15450.0
2625,14999.0
2626,15000.0
2627,15100.0
2628,15100.0
2629,15200.0
2630,15200.0
2631,15200.0
2632,15250.0
2633,15299.0
2634,15299.0
2635,15300.0
2636,15300.0
2637,15300.0
2638,15400.0
2639,15400.0
2640,15400.0
2641,15400.0
2642,15450.0
2643,15450.0
2644,15450.0
2645,15450.0
2646,15450.0
2647,15490.0
2648,15499.0
2649,15500.0
2650,15500.0
2651,15500.0
2652,15500.0
2653,15500.0
2654,15500.0
2655,15500.0
2656,15500.0
2657,15500.0
2658,15550.0
2659,15590.0
2660,15590.0
2661,15600.0
2662,15600.0
2663,15650.0
2664,15650.0
2665,15450.0
2666,15450.0
2667,15490.0
2668,15499.0
2669,15500.0
2670,15500.0
2671,15500.0
2672,15500.0
2673,15500.0
2674,15500.0
2675,15500.0
2676,15500.0
2677,15500.0
2678,15550.0
2679,15590.0
2680,15590.0
2681,15600.0
2682,15600.0
2683,15650.0
2684,15650.0
2685,15650.0
2686,15700.0
2687,15700.0
2688,15700.0
2689,15700.0
2690,15700.0
2691,15730.0
2692,15750.0
2693,15750.0
2694,15750.0
2695,15799.0
2696,15799.0
2697,15799.0
2698,15800.0
2699,15800.0
2700,15850.0
2701,15850.0
2702,15850.0
2703,15650.0
2704,15700.0
2705,15700.0
2706,15700.0
2707,15700.0
2708,15700.0
2709,15730.0
2710,15750.0
2711,15750.0
2712,15750.0
2713,15799.0
2714,15799.0
2715,15799.0
2716,15800.0
2717,15800.0
2718,15800.0
2719,15800.0
2720,15850.0
2721,15850.0
2722,15850.0
2723,15890.0
2724,15900.0
2725,15900.0
2726,15900.0
2727,15900.0
2728,15900.0
2729,15900.0
2730,15900.0
2731,15900.0
2732,15900.0
2733,15950.0
2734,15950.0
2735,15950.0
2736,15950.0
2737,15950.0
2738,15950.0
2739,15950.0
2740,15990.0
2741,15990.0
2742,15850.0
2743,15890.0
2744,15900.0
2745,15900.0
2746,15900.0
2747,15900.0
2748,15900.0
2749,15900.0
2750,15900.0
2751,15900.0
2752,15900.0
2753,15950.0
2754,15950.0
2755,15950.0
2756,15950.0
2757,15950.0
2758,15950.0
2759,15950.0
2760,15990.0
2761,15990.0
2762,15990.0
2763,15990.0
2764,15999.0
2765,15999.0
2766,15999.0
2767,15999.0
2768,15999.0
2769,16000.0
2770,16000.0
2771,16000.0
2772,16000.0
2773,16000.0
2774,16000.0
2775,16000.0
2776,16099.0
2777,16150.0
2778,16200.0
2779,16200.0
2780,16250.0
2781,16250.0
2782,15990.0
2783,15990.0
2784,15999.0
2785,15999.0
2786,15999.0
2787,15999.0
2788,15999.0
2789,16000.0
2790,16000.0
2791,16000.0
2792,16000.0
2793,16000.0
2794,16000.0
2795,16000.0
2796,16099.0
2797,16150.0
2798,16200.0
2799,16200.0
2800,16250.0
2801,16250.0
2802,16250.0
2803,16300.0
2804,16300.0
2805,16335.0
2806,16350.0
2807,16390.0
2808,16390.0
2809,16399.0
2810,16450.0
2811,16450.0
2812,16450.0
2813,16450.0
2814,16450.0
2815,16490.0
2816,16499.0
2817,16500.0
2818,16500.0
2819,16500.0
2820,16500.0
2821,16250.0
2822,16300.0
2823,16300.0
2824,16300.0
2825,16335.0
2826,16350.0
2827,16390.0
2828,16390.0
2829,16399.0
2830,16450.0
2831,16450.0
2832,16450.0
2833,16450.0
2834,16450.0
2835,16490.0
2836,16499.0
2837,16500.0
2838,16500.0
2839,16500.0
2840,16500.0
2841,16500.0
2842,16500.0
2843,16500.0
2844,16500.0
2845,16500.0
2846,16500.0
2847,16500.0
2848,16500.0
2849,16577.0
2850,16600.0
2851,16600.0
2852,16650.0
2853,16666.0
2854,16690.0
2855,16700.0
2856,16700.0
2857,16700.0
2858,16733.0
2859,16750.0
2860,16500.0
2861,16500.0
2862,16500.0
2863,16500.0
2864,16500.0
2865,16500.0
2866,16500.0
2867,16500.0
2868,16500.0
2869,16577.0
2870,16600.0
2871,16600.0
2872,16650.0
2873,16666.0
2874,16690.0
2875,16700.0
2876,16700.0
2877,16700.0
2878,16733.0
2879,16750.0
2880,16750.0
2881,16750.0
2882,16750.0
2883,16750.0
2884,16750.0
2885,16800.0
2886,16800.0
2887,16850.0
2888,16850.0
2889,16900.0
2890,16900.0
2891,16900.0
2892,16900.0
2893,16900.0
2894,16950.0
2895,16950.0
2896,16950.0
2897,16950.0
2898,16950.0
2899,16950.0
2900,16750.0
2901,16750.0
2902,16750.0
2903,16750.0
2904,16750.0
2905,16800.0
2906,16800.0
2907,16850.0
2908,16850.0
2909,16900.0
2910,16900.0
2911,16900.0
2912,16900.0
2913,16900.0
2914,16950.0
2915,16950.0
2916,16950.0
2917,16950.0
2918,16950.0
2919,16950.0
2920,16950.0
2921,16950.0
2922,16990.0
2923,16990.0
2924,16990.0
2925,16999.0
2926,16999.0
2927,16999.0
2928,16999.0
2929,16999.0
2930,16999.0
2931,17000.0
2932,17000.0
2933,17200.0
2934,17200.0
2935,17250.0
2936,17250.0
2937,17300.0
2938,17400.0
2939,17400.0
2940,16950.0
2941,16950.0
2942,16990.0
2943,16990.0
2944,16990.0
2945,16999.0
2946,16999.0
2947,16999.0
2948,16999.0
2949,16999.0
2950,16999.0
2951,17000.0
2952,17000.0
2953,17200.0
2954,17200.0
2955,17250.0
2956,17250.0
2957,17300.0
2958,17400.0
2959,17400.0
2960,17450.0
2961,17450.0
2962,17450.0
2963,17490.0
2964,17490.0
2965,17490.0
2966,17499.0
2967,17499.0
2968,17500.0
2969,17500.0
2970,17500.0
2971,17500.0
2972,17500.0
2973,17500.0
2974,17500.0
2975,17500.0
2976,17500.0
2977,17500.0
2978,17500.0
2979,17500.0
2980,17450.0
2981,17450.0
2982,17450.0
2983,17490.0
2984,17490.0
2985,17490.0
2986,17499.0
2987,17499.0
2988,17500.0
2989,17500.0
2990,17500.0
2991,17500.0
2992,17500.0
2993,17500.0
2994,17500.0
2995,17500.0
2996,17500.0
2997,17500.0
2998,17500.0
2999,17500.0
3000,17550.0
3001,17550.0
3002,17600.0
3003,17650.0
3004,17650.0
3005,17650.0
3006,17650.0
3007,17699.0
3008,17699.0
3009,17700.0
3010,17700.0
3011,17750.0
3012,17750.0
3013,17800.0
3014,17800.0
3015,17850.0
3016,17850.0
3017,17890.0
3018,17900.0
3019,17900.0
3020,17550.0
3021,17550.0
3022,17600.0
3023,17650.0
3024,17650.0
3025,17650.0
3026,17650.0
3027,17699.0
3028,17699.0
3029,17700.0
3030,17700.0
3031,17750.0
3032,17750.0
3033,17800.0
3034,17800.0
3035,17850.0
3036,17850.0
3037,17890.0
3038,17900.0
3039,17900.0
3040,17900.0
3041,17900.0
3042,17900.0
3043,17900.0
3044,17900.0
3045,17900.0
3046,17900.0
3047,17900.0
3048,17900.0
3049,17900.0
3050,17950.0
3051,17950.0
3052,17950.0
3053,17950.0
3054,17999.0
3055,17999.0
3056,17999.0
3057,18000.0
3058,18000.0
3059,18000.0
3060,17900.0
3061,17900.0
3062,17900.0
3063,17900.0
3064,17900.0
3065,17900.0
3066,17900.0
3067,17900.0
3068,17900.0
3069,17900.0
3070,17950.0
3071,17950.0
3072,17950.0
3073,17950.0
3074,17999.0
3075,17999.0
3076,17999.0
3077,18000.0
3078,18000.0
3079,18000.0
3080,18000.0
3081,18000.0
3082,18000.0
3083,18000.0
3084,18100.0
3085,18150.0
3086,18200.0
3087,18200.0
3088,18300.0
3089,18300.0
3090,18330.0
3091,18350.0
3092,18350.0
3093,18350.0
3094,18450.0
3095,18490.0
3096,18490.0
3097,18490.0
3098,18500.0
3099,18500.0
3100,18000.0
3101,18000.0
3102,18000.0
3103,18000.0
3104,18100.0
3105,18150.0
3106,18200.0
3107,18200.0
3108,18300.0
3109,18300.0
3110,18330.0
3111,18350.0
3112,18350.0
3113,18350.0
3114,18450.0
3115,18490.0
3116,18490.0
3117,18490.0
3118,18500.0
3119,18500.0
3120,18500.0
3121,18500.0
3122,18500.0
3123,18500.0
3124,18500.0
3125,18500.0
3126,18550.0
3127,18550.0
3128,18600.0
3129,18650.0
3130,18650.0
3131,18650.0
3132,18650.0
3133,18650.0
3134,18700.0
3135,18700.0
3136,18700.0
3137,18700.0
3138,18743.0
3139,18750.0
3140,18500.0
3141,18500.0
3142,18500.0
3143,18500.0
3144,18500.0
3145,18500.0
3146,18550.0
3147,18550.0
3148,18600.0
3149,18650.0
3150,18650.0
3151,18650.0
3152,18650.0
3153,18650.0
3154,18700.0
3155,18700.0
3156,18700.0
3157,18700.0
3158,18743.0
3159,18750.0
3160,18750.0
3161,18799.0
3162,18800.0
3163,18800.0
3164,18800.0
3165,18800.0
3166,18800.0
3167,18800.0
3168,18850.0
3169,18890.0
3170,18899.0
3171,18900.0
3172,18900.0
3173,18900.0
3174,18900.0
3175,18900.0
3176,18900.0
3177,18900.0
3178,18750.0
3179,18799.0
3180,18800.0
3181,18800.0
3182,18800.0
3183,18800.0
3184,18800.0
3185,18800.0
3186,18850.0
3187,18890.0
3188,18899.0
3189,18900.0
3190,18900.0
3191,18900.0
3192,18900.0
3193,18900.0
3194,18900.0
3195,18900.0
3196,18900.0
3197,18900.0
3198,18900.0
3199,18900.0
3200,18900.0
3201,18900.0
3202,18900.0
3203,18950.0
3204,18950.0
3205,18950.0
3206,18950.0
3207,18950.0
3208,18950.0
3209,18990.0
3210,18990.0
3211,18990.0
3212,18990.0
3213,18990.0
3214,18990.0
3215,18990.0
3216,18999.0
3217,18999.0
3218,18900.0
3219,18900.0
3220,18900.0
3221,18900.0
3222,18900.0
3223,18950.0
3224,18950.0
3225,18950.0
3226,18950.0
3227,18950.0
3228,18950.0
3229,18990.0
3230,18990.0
3231,18990.0
3232,18990.0
3233,18990.0
3234,18990.0
3235,18990.0
3236,18999.0
3237,18999.0
3238,18999.0
3239,18999.0
3240,19000.0
3241,19000.0
3242,19100.0
3243,19100.0
3244,19150.0
3245,19200.0
3246,19200.0
3247,19250.0
3248,19300.0
3249,19300.0
3250,19400.0
3251,19450.0
3252,19490.0
3253,19499.0
3254,19500.0
3255,19500.0
3256,19500.0
3257,18999.0
3258,18999.0
3259,19000.0
3260,19000.0
3261,19100.0
3262,19100.0
3263,19150.0
3264,19200.0
3265,19200.0
3266,19250.0
3267,19300.0
3268,19300.0
3269,19400.0
3270,19450.0
3271,19490.0
3272,19499.0
3273,19500.0
3274,19500.0
3275,19500.0
3276,19500.0
3277,19500.0
3278,19500.0
3279,19500.0
3280,19550.0
3281,19550.0
3282,19590.0
3283,19599.0
3284,19599.0
3285,19600.0
3286,19600.0
3287,19650.0
3288,19690.0
3289,19699.0
3290,19700.0
3291,19800.0
3292,19800.0
3293,19800.0
3294,19800.0
3295,19890.0
3296,19899.0
3297,19500.0
3298,19500.0
3299,19500.0
3300,19550.0
3301,19550.0
3302,19590.0
3303,19599.0
3304,19599.0
3305,19600.0
3306,19600.0
3307,19650.0
3308,19690.0
3309,19699.0
3310,19700.0
3311,19800.0
3312,19800.0
3313,19800.0
3314,19800.0
3315,19890.0
3316,19899.0
3317,19900.0
3318,19900.0
3319,19900.0
3320,19900.0
3321,19900.0
3322,19900.0
3323,19900.0
3324,19900.0
3325,19950.0
3326,19950.0
3327,19950.0
3328,19950.0
3329,19990.0
3330,19990.0
3331,19990.0
3332,19990.0
3333,19990.0
3334,19990.0
3335,19990.0
3336,19990.0
3337,19900.0
3338,19900.0
3339,19900.0
3340,19900.0
3341,19900.0
3342,19900.0
3343,19900.0
3344,19900.0
3345,19950.0
3346,19950.0
3347,19950.0
3348,19950.0
3349,19990.0
3350,19990.0
3351,19990.0
3352,19990.0
3353,19990.0
3354,19990.0
3355,19990.0
3356,19990.0
3357,19999.0
3358,19999.0
3359,19999.0
3360,19999.0
3361,19999.0
3362,20000.0
3363,20000.0
3364,20000.0
3365,20000.0
3366,20000.0
3367,20100.0
3368,20200.0
3369,20300.0
3370,20300.0
3371,20300.0
3372,20349.0
3373,20400.0
3374,19995.0
3375,19999.0
3376,19999.0
3377,19999.0
3378,19999.0
3379,19999.0
3380,20000.0
3381,20000.0
3382,20000.0
3383,20000.0
3384,20000.0
3385,20000.0
3386,20100.0
3387,20200.0
3388,20300.0
3389,20300.0
3390,20300.0
3391,20349.0
3392,20400.0
3393,20400.0
3394,20449.0
3395,20450.0
3396,20450.0
3397,20490.0
3398,20499.0
3399,20499.0
3400,20500.0
3401,20500.0
3402,20500.0
3403,20500.0
3404,20500.0
3405,20500.0
3406,20500.0
3407,20500.0
3408,20500.0
3409,20500.0
3410,20500.0
3411,20500.0
3412,20449.0
3413,20450.0
3414,20450.0
3415,20490.0
3416,20499.0
3417,20499.0
3418,20500.0
3419,20500.0
3420,20500.0
3421,20500.0
3422,20500.0
3423,20500.0
3424,20500.0
3425,20500.0
3426,20500.0
3427,20500.0
3428,20500.0
3429,20500.0
3430,20500.0
3431,20500.0
3432,20500.0
3433,20500.0
3434,20570.0
3435,20600.0
3436,20650.0
3437,20750.0
3438,20750.0
3439,20800.0
3440,20800.0
3441,20812.0
3442,20812.0
3443,20850.0
3444,20900.0
3445,20900.0
3446,20900.0
3447,20900.0
3448,20900.0
3449,20900.0
3450,20900.0
3451,20900.0
3452,20500.0
3453,20500.0
3454,20570.0
3455,20600.0
3456,20650.0
3457,20750.0
3458,20750.0
3459,20800.0
3460,20800.0
3461,20812.0
3462,20812.0
3463,20850.0
3464,20900.0
3465,20900.0
3466,20900.0
3467,20900.0
3468,20900.0
3469,20900.0
3470,20900.0
3471,20900.0
3472,20950.0
3473,20950.0
3474,20950.0
3475,20950.0
3476,20950.0
3477,20999.0
3478,21000.0
3479,21000.0
3480,21000.0
3481,21000.0
3482,21000.0
3483,21200.0
3484,21250.0
3485,21300.0
3486,21400.0
3487,21400.0
3488,21450.0
3489,21490.0
3490,21490.0
3491,21499.0
3492,20950.0
3493,20950.0
3494,20950.0
3495,20950.0
3496,20950.0
3497,20999.0
3498,21000.0
3499,21000.0
3500,21000.0
3501,21000.0
3502,21000.0
3503,21200.0
3504,21250.0
3505,21300.0
3506,21400.0
3507,21400.0
3508,21450.0
3509,21490.0
3510,21490.0
3511,21499.0
3512,21500.0
3513,21500.0
3514,21500.0
3515,21500.0
3516,21550.0
3517,21650.0
3518,21700.0
3519,21700.0
3520,21790.0
3521,21800.0
3522,21800.0
3523,21850.0
3524,21880.0
3525,21900.0
3526,21900.0
3527,21900.0
3528,21900.0
3529,21900.0
3530,21900.0
3531,21500.0
3532,21500.0
3533,21500.0
3534,21500.0
3535,21500.0
3536,21550.0
3537,21650.0
3538,21700.0
3539,21700.0
3540,21790.0
3541,21800.0
3542,21800.0
3543,21850.0
3544,21880.0
3545,21900.0
3546,21900.0
3547,21900.0
3548,21900.0
3549,21900.0
3550,21900.0
3551,21900.0
3552,21900.0
3553,21900.0
3554,21950.0
3555,21950.0
3556,21950.0
3557,21950.0
3558,21950.0
3559,21950.0
3560,21990.0
3561,21990.0
3562,21990.0
3563,21999.0
3564,21999.0
3565,22000.0
3566,22000.0
3567,22000.0
3568,22000.0
3569,22000.0
3570,22000.0
3571,21900.0
3572,21900.0
3573,21900.0
3574,21950.0
3575,21950.0
3576,21950.0
3577,21950.0
3578,21950.0
3579,21950.0
3580,21990.0
3581,21990.0
3582,21990.0
3583,21999.0
3584,21999.0
3585,22000.0
3586,22000.0
3587,22000.0
3588,22000.0
3589,22000.0
3590,22000.0
3591,22000.0
3592,22200.0
3593,22300.0
3594,22350.0
3595,22350.0
3596,22350.0
3597,22400.0
3598,22450.0
3599,22450.0
3600,22450.0
3601,22490.0
3602,22490.0
3603,22490.0
3604,22490.0
3605,22490.0
3606,22490.0
3607,22499.0
3608,22500.0
3609,22500.0
3610,22000.0
3611,22200.0
3612,22300.0
3613,22350.0
3614,22350.0
3615,22350.0
3616,22350.0
3617,22400.0
3618,22450.0
