,k
457,2700.0
458,2700.0
459,2700.0
460,2700.0
461,2750.0
462,2800.0
463,2850.0
464,2899.0
465,2899.0
466,2900.0
467,2900.0
468,2950.0
469,2950.0
470,2950.0
471,2999.0
472,2999.0
473,3000.0
474,3000.0
475,3000.0
476,3000.0
477,3100.0
478,3100.0
479,3100.0
480,3100.0
481,3200.0
482,3200.0
483,3200.0
484,3200.0
485,2899.0
486,2900.0
487,2900.0
488,2950.0
489,2950.0
490,2950.0
491,2999.0
492,2999.0
493,3000.0
494,3000.0
495,3000.0
496,3000.0
497,3100.0
498,3100.0
499,3100.0
500,3100.0
501,3200.0
502,3200.0
503,3200.0
504,3200.0
505,3200.0
506,3200.0
507,3250.0
508,3250.0
509,3300.0
510,3300.0
511,3300.0
512,3350.0
513,3350.0
514,3400.0
515,3400.0
516,3400.0
517,3400.0
518,3400.0
519,3490.0
520,3500.0
521,3500.0
522,3500.0
523,3200.0
524,3200.0
525,3250.0
526,3250.0
527,3300.0
528,3300.0
529,3300.0
530,3350.0
531,3350.0
532,3350.0
533,3400.0
534,3400.0
535,3400.0
536,3400.0
537,3400.0
538,3490.0
539,3500.0
540,3500.0
541,3500.0
542,3500.0
543,3500.0
544,3500.0
545,3500.0
546,3550.0
547,3600.0
548,3600.0
549,3650.0
550,3650.0
551,3650.0
552,3699.0
553,3700.0
554,3700.0
555,3700.0
556,3700.0
557,3700.0
558,3700.0
559,3700.0
560,3750.0
561,3750.0
562,3500.0
563,3500.0
564,3500.0
565,3550.0
566,3600.0
567,3600.0
568,3600.0
569,3650.0
570,3650.0
571,3650.0
572,3699.0
573,3700.0
574,3700.0
575,3700.0
576,3700.0
577,3700.0
578,3700.0
579,3700.0
580,3750.0
581,3750.0
582,3750.0
583,3750.0
584,3750.0
585,3750.0
586,3800.0
587,3800.0
588,3800.0
589,3850.0
590,3850.0
591,3900.0
592,3900.0
593,3900.0
594,3950.0
595,3950.0
596,3950.0
597,3950.0
598,3950.0
599,3950.0
600,3750.0
601,3750.0
602,3750.0
603,3750.0
604,3770.0
605,3800.0
606,3800.0
607,3800.0
608,3800.0
609,3850.0
610,3850.0
611,3900.0
612,3900.0
613,3900.0
614,3950.0
615,3950.0
616,3950.0
617,3950.0
618,3950.0
619,3950.0
620,3980.0
621,3990.0
622,3999.0
623,3999.0
624,3999.0
625,3999.0
626,4000.0
627,4000.0
628,4000.0
629,4000.0
630,4100.0
631,4100.0
632,4100.0
633,4100.0
634,4100.0
635,4100.0
636,4100.0
637,4150.0
638,3980.0
639,3990.0
640,3999.0
641,3999.0
642,3999.0
643,3999.0
644,3999.0
645,4000.0
646,4000.0
647,4000.0
648,4000.0
649,4000.0
650,4100.0
651,4100.0
652,4100.0
653,4100.0
654,4100.0
655,4100.0
656,4100.0
657,4150.0
658,4200.0
659,4200.0
660,4200.0
661,4200.0
662,4200.0
663,4200.0
664,4200.0
665,4200.0
666,4200.0
667,4250.0
668,4300.0
669,4300.0
670,4300.0
671,4300.0
672,4300.0
673,4350.0
674,4350.0
675,4399.0
676,4400.0
677,4200.0
678,4200.0
679,4200.0
680,4200.0
681,4200.0
682,4200.0
683,4200.0
684,4200.0
685,4200.0
686,4250.0
687,4250.0
688,4300.0
689,4300.0
690,4300.0
691,4300.0
692,4300.0
693,4350.0
694,4350.0
695,4399.0
696,4400.0
697,4450.0
698,4499.0
699,4499.0
700,4499.0
701,4499.0
702,4500.0
703,4500.0
704,4500.0
705,4500.0
706,4500.0
707,4500.0
708,4500.0
709,4500.0
710,4500.0
711,4590.0
712,4600.0
713,4600.0
714,4600.0
715,4650.0
716,4650.0
717,4450.0
718,4499.0
719,4499.0
720,4499.0
721,4499.0
722,4500.0
723,4500.0
724,4500.0
725,4500.0
726,4500.0
727,4500.0
728,4500.0
729,4500.0
730,4500.0
731,4590.0
732,4600.0
733,4600.0
734,4600.0
735,4650.0
736,4650.0
737,4650.0
738,4650.0
739,4700.0
740,4700.0
741,4700.0
742,4700.0
743,4700.0
744,4700.0
745,4702.0
746,4750.0
747,4750.0
748,4750.0
749,4800.0
750,4800.0
751,4800.0
752,4800.0
753,4850.0
754,4850.0
755,4900.0
756,4650.0
757,4650.0
758,4700.0
759,4700.0
760,4700.0
761,4700.0
762,4700.0
763,4700.0
764,4702.0
765,4750.0
766,4750.0
767,4750.0
768,4800.0
769,4800.0
770,4800.0
771,4800.0
772,4850.0
773,4850.0
774,4900.0
775,4900.0
776,4900.0
777,4900.0
778,4900.0
779,4950.0
780,4950.0
781,4950.0
782,4950.0
783,4950.0
784,4950.0
785,4999.0
786,4999.0
787,4999.0
788,4999.0
789,5000.0
790,5000.0
791,5000.0
792,5090.0
793,4900.0
794,4900.0
795,4900.0
796,4950.0
797,4950.0
798,4950.0
799,4950.0
800,4950.0
801,4950.0
802,4950.0
803,4999.0
804,4999.0
805,4999.0
806,4999.0
807,5000.0
808,5000.0
809,5000.0
810,5000.0
811,5050.0
812,5090.0
813,5100.0
814,5100.0
815,5100.0
816,5150.0
817,5200.0
818,5200.0
819,5200.0
820,5200.0
821,5200.0
822,5200.0
823,5200.0
824,5250.0
825,5250.0
826,5250.0
827,5250.0
828,5300.0
829,5300.0
830,5300.0
831,5100.0
832,5100.0
833,5100.0
834,5150.0
835,5150.0
836,5200.0
837,5200.0
838,5200.0
839,5200.0
840,5200.0
841,5200.0
842,5200.0
843,5200.0
844,5250.0
845,5250.0
846,5250.0
847,5250.0
848,5300.0
849,5300.0
850,5300.0
851,5300.0
852,5350.0
853,5350.0
854,5350.0
855,5350.0
856,5350.0
857,5400.0
858,5400.0
859,5400.0
860,5400.0
861,5400.0
862,5500.0
863,5500.0
864,5500.0
865,5500.0
866,5500.0
867,5550.0
868,5550.0
869,5555.0
870,5600.0
871,5300.0
872,5350.0
873,5350.0
874,5350.0
875,5350.0
876,5350.0
877,5400.0
878,5400.0
879,5400.0
880,5400.0
881,5400.0
882,5500.0
883,5500.0
884,5500.0
885,5500.0
886,5500.0
887,5550.0
888,5550.0
889,5555.0
890,5600.0
891,5600.0
892,5650.0
893,5700.0
894,5700.0
895,5700.0
896,5700.0
897,5700.0
898,5750.0
899,5790.0
900,5799.0
901,5800.0
902,5800.0
903,5850.0
904,5900.0
905,5900.0
906,5900.0
907,5900.0
908,5950.0
909,5950.0
910,5600.0
911,5650.0
912,5700.0
913,5700.0
914,5700.0
915,5700.0
916,5700.0
917,5750.0
918,5790.0
919,5799.0
920,5800.0
921,5800.0
922,5850.0
923,5899.0
924,5900.0
925,5900.0
926,5900.0
927,5900.0
928,5950.0
929,5950.0
930,5980.0
931,5990.0
932,5999.0
933,5999.0
934,5999.0
935,5999.0
936,5999.0
937,5999.0
938,5999.0
939,5999.0
940,5999.0
941,5999.0
942,6000.0
943,6000.0
944,6100.0
945,6100.0
946,6150.0
947,6200.0
948,6200.0
949,6200.0
950,5980.0
951,5990.0
952,5999.0
953,5999.0
954,5999.0
955,5999.0
956,5999.0
957,5999.0
958,5999.0
959,5999.0
960,5999.0
961,5999.0
962,6000.0
963,6000.0
964,6100.0
965,6100.0
966,6150.0
967,6200.0
968,6200.0
969,6200.0
970,6200.0
971,6200.0
972,6250.0
973,6250.0
974,6250.0
975,6250.0
976,6299.0
977,6299.0
978,6300.0
979,6300.0
980,6300.0
981,6350.0
982,6350.0
983,6380.0
984,6400.0
985,6400.0
986,6450.0
987,6450.0
988,6450.0
989,6200.0
990,6200.0
991,6250.0
992,6250.0
993,6250.0
994,6250.0
995,6299.0
996,6299.0
997,6300.0
998,6300.0
999,6300.0
1000,6350.0
1001,6350.0
1002,6380.0
1003,6390.0
1004,6400.0
1005,6400.0
1006,6450.0
1007,6450.0
1008,6450.0
1009,6500.0
1010,6500.0
1011,6500.0
1012,6500.0
1013,6500.0
1014,6500.0
1015,6500.0
1016,6500.0
1017,6500.0
1018,6550.0
1019,6590.0
1020,6600.0
1021,6600.0
1022,6650.0
1023,6650.0
1024,6650.0
1025,6666.0
1026,6450.0
1027,6500.0
1028,6500.0
1029,6500.0
1030,6500.0
1031,6500.0
1032,6500.0
1033,6500.0
1034,6500.0
1035,6500.0
1036,6500.0
1037,6550.0
1038,6550.0
1039,6590.0
1040,6600.0
1041,6600.0
1042,6650.0
1043,6650.0
1044,6650.0
1045,6666.0
1046,6700.0
1047,6700.0
1048,6700.0
1049,6700.0
1050,6700.0
1051,6700.0
1052,6750.0
1053,6750.0
1054,6750.0
1055,6799.0
1056,6800.0
1057,6800.0
1058,6800.0
1059,6800.0
1060,6850.0
1061,6900.0
1062,6900.0
1063,6900.0
1064,6700.0
1065,6700.0
1066,6700.0
1067,6700.0
1068,6700.0
1069,6700.0
1070,6700.0
1071,6750.0
1072,6750.0
1073,6750.0
1074,6799.0
1075,6800.0
1076,6800.0
1077,6800.0
1078,6800.0
1079,6850.0
1080,6900.0
1081,6900.0
1082,6900.0
1083,6900.0
1084,6900.0
1085,6900.0
1086,6950.0
1087,6950.0
1088,6990.0
1089,6990.0
1090,6999.0
1091,6999.0
1092,6999.0
1093,7000.0
1094,7000.0
1095,7000.0
1096,7000.0
1097,7000.0
1098,7000.0
1099,7100.0
1100,7200.0
1101,7250.0
1102,7250.0
1103,6900.0
1104,6900.0
1105,6950.0
1106,6950.0
1107,6990.0
1108,6990.0
1109,6999.0
1110,6999.0
1111,6999.0
1112,7000.0
1113,7000.0
1114,7000.0
1115,7000.0
1116,7000.0
1117,7000.0
1118,7100.0
1119,7200.0
1120,7250.0
1121,7250.0
1122,7300.0
1123,7300.0
1124,7300.0
1125,7300.0
1126,7350.0
1127,7400.0
1128,7400.0
1129,7450.0
1130,7450.0
1131,7499.0
1132,7499.0
1133,7500.0
1134,7500.0
1135,7500.0
1136,7500.0
1137,7500.0
1138,7500.0
1139,7500.0
1140,7500.0
1141,7300.0
1142,7300.0
1143,7300.0
1144,7350.0
1145,7400.0
1146,7400.0
1147,7444.0
1148,7450.0
1149,7450.0
1150,7499.0
1151,7499.0
1152,7500.0
1153,7500.0
1154,7500.0
1155,7500.0
1156,7500.0
1157,7500.0
1158,7500.0
1159,7500.0
1160,7500.0
1161,7500.0
1162,7500.0
1163,7500.0
1164,7550.0
1165,7590.0
1166,7600.0
1167,7600.0
1168,7600.0
1169,7600.0
1170,7650.0
1171,7690.0
1172,7697.0
1173,7700.0
1174,7700.0
1175,7700.0
1176,7700.0
1177,7700.0
1178,7700.0
1179,7700.0
1180,7500.0
1181,7500.0
1182,7500.0
1183,7550.0
1184,7590.0
1185,7600.0
1186,7600.0
1187,7600.0
1188,7600.0
1189,7650.0
1190,7690.0
1191,7697.0
1192,7700.0
1193,7700.0
1194,7700.0
1195,7700.0
1196,7700.0
1197,7700.0
1198,7700.0
1199,7700.0
1200,7750.0
1201,7750.0
1202,7750.0
1203,7750.0
1204,7799.0
1205,7799.0
1206,7800.0
1207,7800.0
1208,7850.0
1209,7850.0
1210,7900.0
1211,7900.0
1212,7900.0
1213,7950.0
1214,7950.0
1215,7950.0
1216,7950.0
1217,7950.0
1218,7950.0
1219,7750.0
1220,7750.0
1221,7750.0
1222,7750.0
1223,7750.0
1224,7799.0
1225,7799.0
1226,7800.0
1227,7800.0
1228,7850.0
1229,7850.0
1230,7900.0
1231,7900.0
1232,7900.0
1233,7950.0
1234,7950.0
1235,7950.0
1236,7950.0
1237,7950.0
1238,7950.0
1239,7950.0
1240,7950.0
1241,7950.0
1242,7950.0
1243,7950.0
1244,7980.0
1245,7999.0
1246,7999.0
1247,7999.0
1248,7999.0
1249,7999.0
1250,7999.0
1251,7999.0
1252,7999.0
1253,7999.0
1254,7999.0
1255,8000.0
1256,8000.0
1257,7950.0
1258,7950.0
1259,7950.0
1260,7950.0
1261,7950.0
1262,7950.0
1263,7950.0
1264,7980.0
1265,7999.0
1266,7999.0
1267,7999.0
1268,7999.0
1269,7999.0
1270,7999.0
1271,7999.0
1272,7999.0
1273,7999.0
1274,7999.0
1275,8000.0
1276,8000.0
1277,8000.0
1278,8000.0
1279,8100.0
1280,8100.0
1281,8150.0
1282,8200.0
1283,8200.0
1284,8200.0
1285,8200.0
1286,8200.0
1287,8250.0
1288,8250.0
1289,8250.0
1290,8250.0
1291,8300.0
1292,8300.0
1293,8300.0
1294,8300.0
1295,8300.0
1296,8000.0
1297,8000.0
1298,8100.0
1299,8100.0
1300,8150.0
1301,8200.0
1302,8200.0
1303,8200.0
1304,8200.0
1305,8200.0
1306,8250.0
1307,8250.0
1308,8250.0
1309,8250.0
1310,8250.0
1311,8300.0
1312,8300.0
1313,8300.0
1314,8300.0
1315,8300.0
1316,8350.0
1317,8350.0
1318,8350.0
1319,8399.0
1320,8400.0
1321,8400.0
1322,8400.0
1323,8400.0
1324,8400.0
1325,8450.0
1326,8450.0
1327,8500.0
1328,8500.0
1329,8500.0
1330,8500.0
1331,8500.0
1332,8500.0
1333,8350.0
1334,8350.0
1335,8350.0
1336,8399.0
1337,8400.0
1338,8400.0
1339,8400.0
1340,8400.0
1341,8400.0
1342,8449.0
1343,8450.0
1344,8450.0
1345,8450.0
1346,8500.0
1347,8500.0
1348,8500.0
1349,8500.0
1350,8500.0
1351,8500.0
1352,8500.0
1353,8550.0
1354,8590.0
1355,8591.0
1356,8600.0
1357,8600.0
1358,8650.0
1359,8650.0
1360,8700.0
1361,8700.0
1362,8700.0
1363,8700.0
1364,8700.0
1365,8750.0
1366,8750.0
1367,8750.0
1368,8750.0
1369,8790.0
1370,8799.0
1371,8799.0
1372,8550.0
1373,8590.0
1374,8591.0
1375,8600.0
1376,8600.0
1377,8650.0
1378,8650.0
