Modelis,Kebulas,Pavara,Variklis,Kuras,Gamybos_metai,Rida,Kaina,Miestas,Web_linkas,k,Gamintojas
BMW 320,Sedanas,Mechaninė,"2.0 l., 125 kW",Benzinas,2013,301 838 km,6 100 €,Vilnius,https://autoplius.lt/skelbimai/bmw-320-2-0-l-sedanas-2013-benzinas-25583051.html,6100.0,BMW
Audi A6,Universalas,Automatinė,"2.7 l., 140 kW",Dyzelinas,2010,307 772 km,6 100 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-2-7-l-universalas-2010-dyzelinas-25590079.html,6100.0,Audi
Opel Insignia,Universalas,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2015-10,216 000 km,6 150 €,Telšiai,https://autoplius.lt/skelbimai/opel-insignia-2-0-l-universalas-2015-dyzelinas-25118908.html,6150.0,Opel
Opel Insignia,Universalas,Automatinė,"2.0 l., 120 kW",Dyzelinas,2014-11,205 000 km,6 200 €,Klaipėda,https://autoplius.lt/skelbimai/opel-insignia-2-0-l-universalas-2014-dyzelinas-25600499.html,6200.0,Opel
Ford Galaxy,Vienatūris,Automatinė,"2.0 l., 120 kW",Dyzelinas,2011-12,234 523 km,6 200 €,Vilnius,https://autoplius.lt/skelbimai/ford-galaxy-2-0-l-vienaturis-2011-dyzelinas-25382611.html,6200.0,Ford
BMW 330,Kupė (Coupe),Automatinė,"3.0 l., 200 kW",Benzinas,2008,250 000 km,6 200 €,Vilnius,https://autoplius.lt/skelbimai/bmw-330-3-0-l-kupe-coupe-2008-benzinas-25704776.html,6200.0,BMW
Ford Fiesta,Hečbekas,Mechaninė,"2.0 l., 110 kW",Benzinas,2008,117 000 km,6 200 €,Vilnius,https://autoplius.lt/skelbimai/ford-fiesta-2-0-l-hecbekas-2008-benzinas-25702374.html,6200.0,Ford
Mercedes-Benz CLS320,Kupė (Coupe),Automatinė,"3.0 l., 165 kW",Dyzelinas,2009-06,303 264 km,6 200 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-cls320-3-0-l-kupe-coupe-2009-dyzelinas-25110432.html,6200.0,Mercedes-Benz
Lexus IS 250,Sedanas,Automatinė,"2.5 l., 153 kW",Benzinas,2007-01,283 291 km,6 250 €,Vilnius,https://autoplius.lt/skelbimai/lexus-is-250-2-5-l-sedanas-2007-benzinas-25699630.html,6250.0,Lexus
Chevrolet Captiva,Visureigis / Krosoveris,Mechaninė,"2.2 l., 135 kW",Dyzelinas,2011-07,185 000 km,6 250 €,Marijampolė,https://autoplius.lt/skelbimai/chevrolet-captiva-2-2-l-visureigis-krosoveris-2011-dyzelinas-24735968.html,6250.0,Chevrolet
Kia Sorento,Visureigis / Krosoveris,Mechaninė,"2.0 l., 110 kW",Dyzelinas,2012-08,279 000 km,6 250 €,Ukmergė,https://autoplius.lt/skelbimai/kia-sorento-2-0-l-visureigis-krosoveris-2012-dyzelinas-25697152.html,6250.0,Kia
Opel Antara,Visureigis / Krosoveris,Mechaninė,"2.2 l., 120 kW",Dyzelinas,2014-07,190 000 km,6 250 €,Ukmergė,https://autoplius.lt/skelbimai/opel-antara-2-2-l-visureigis-krosoveris-2014-dyzelinas-25696920.html,6250.0,Opel
Opel Antara,Visureigis / Krosoveris,Mechaninė,"2.2 l., 120 kW",Dyzelinas,2015-12,147 000 km,6 299 €,Jurbarkas,https://autoplius.lt/skelbimai/opel-antara-2-2-l-visureigis-krosoveris-2015-dyzelinas-24804183.html,6299.0,Opel
Ford S-MAX,Vienatūris,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2011-11,186 462 km,6 299 €,Alytus,https://autoplius.lt/skelbimai/ford-s-max-2-0-l-vienaturis-2011-dyzelinas-25702136.html,6299.0,Ford
Volkswagen Phaeton,Sedanas,Automatinė,"3.0 l., 171 kW",Dyzelinas,2008-12,234 753 km,6 300 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-phaeton-3-0-l-sedanas-2008-dyzelinas-25699440.html,6300.0,Volkswagen
Land Rover Range Rover Sport,Visureigis / Krosoveris,Automatinė,"2.7 l., 140 kW",Dyzelinas,2006-03,320 000 km,6 300 €,Vilnius,https://autoplius.lt/skelbimai/land-rover-range-rover-sport-2-7-l-visureigis-krosoveris-2006-dyzelinas-25372099.html,6300.0,Land
Volkswagen Golf Plus,Vienatūris,Automatinė,"1.4 l., 118 kW",Benzinas,2009-09,116 000 km,6 300 €,Marijampolė,https://autoplius.lt/skelbimai/volkswagen-golf-plus-1-4-l-vienaturis-2009-benzinas-25523179.html,6300.0,Volkswagen
Volkswagen Golf,Universalas,Automatinė,"2.0 l., 110 kW",Dyzelinas,2014-12,239 000 km,6 350 €,Jurbarkas,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2014-dyzelinas-25533345.html,6350.0,Volkswagen
Opel Insignia,Universalas,Automatinė,"2.0 l., 118 kW",Dyzelinas,2011-12,227 555 km,6 350 €,Marijampolė,https://autoplius.lt/skelbimai/opel-insignia-2-0-l-universalas-2011-dyzelinas-25533341.html,6350.0,Opel
Audi A6,Universalas,Automatinė,"2.7 l., 140 kW",Dyzelinas,2010,288 094 km,6 380 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-2-7-l-universalas-2010-dyzelinas-25471915.html,6380.0,Audi
Saab 9-5,Sedanas,Mechaninė,"2.0 l., 118 kW",Dyzelinas,2010-07,310 000 km,6 400 €,Marijampolė,https://autoplius.lt/skelbimai/saab-9-5-2-0-l-sedanas-2010-dyzelinas-25415535.html,6400.0,Saab
Infiniti EX35,Visureigis / Krosoveris,Automatinė,"3.5 l., 217 kW",Benzinas,2008-12,244 000 km,6 400 €,Klaipėda,https://autoplius.lt/skelbimai/infiniti-ex35-3-5-l-visureigis-krosoveris-2008-benzinas-25629481.html,6400.0,Infiniti
Nissan X-Trail,Visureigis / Krosoveris,Mechaninė,"2.0 l., 110 kW",Dyzelinas,2008-12,300 000 km,6 450 €,Šiauliai,https://autoplius.lt/skelbimai/nissan-x-trail-2-0-l-visureigis-krosoveris-2008-dyzelinas-25214863.html,6450.0,Nissan
Ford Mondeo,Universalas,Mechaninė,"2.0 l., 110 kW",Dyzelinas,2017-10,294 000 km,6 450 €,Jurbarkas,https://autoplius.lt/skelbimai/ford-mondeo-2-0-l-universalas-2017-dyzelinas-25509635.html,6450.0,Ford
Citroen C-Crosser,Visureigis / Krosoveris,Mechaninė,"2.2 l., 115 kW",Dyzelinas,2008,198 544 km,6 450 €,Šiauliai,https://autoplius.lt/skelbimai/citroen-c-crosser-2-2-l-visureigis-krosoveris-2008-dyzelinas-25702270.html,6450.0,Citroen
Ford Fiesta,Hečbekas,Mechaninė,"2.0 l., 110 kW",Benzinas,2008,117 000 km,6 200 €,Vilnius,https://autoplius.lt/skelbimai/ford-fiesta-2-0-l-hecbekas-2008-benzinas-25702374.html,6200.0,Ford
Mercedes-Benz CLS320,Kupė (Coupe),Automatinė,"3.0 l., 165 kW",Dyzelinas,2009-06,303 264 km,6 200 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-cls320-3-0-l-kupe-coupe-2009-dyzelinas-25110432.html,6200.0,Mercedes-Benz
Lexus IS 250,Sedanas,Automatinė,"2.5 l., 153 kW",Benzinas,2007-01,283 291 km,6 250 €,Vilnius,https://autoplius.lt/skelbimai/lexus-is-250-2-5-l-sedanas-2007-benzinas-25699630.html,6250.0,Lexus
Chevrolet Captiva,Visureigis / Krosoveris,Mechaninė,"2.2 l., 135 kW",Dyzelinas,2011-07,185 000 km,6 250 €,Marijampolė,https://autoplius.lt/skelbimai/chevrolet-captiva-2-2-l-visureigis-krosoveris-2011-dyzelinas-24735968.html,6250.0,Chevrolet
Kia Sorento,Visureigis / Krosoveris,Mechaninė,"2.0 l., 110 kW",Dyzelinas,2012-08,279 000 km,6 250 €,Ukmergė,https://autoplius.lt/skelbimai/kia-sorento-2-0-l-visureigis-krosoveris-2012-dyzelinas-25697152.html,6250.0,Kia
Opel Antara,Visureigis / Krosoveris,Mechaninė,"2.2 l., 120 kW",Dyzelinas,2014-07,190 000 km,6 250 €,Ukmergė,https://autoplius.lt/skelbimai/opel-antara-2-2-l-visureigis-krosoveris-2014-dyzelinas-25696920.html,6250.0,Opel
Opel Antara,Visureigis / Krosoveris,Mechaninė,"2.2 l., 120 kW",Dyzelinas,2015-12,147 000 km,6 299 €,Jurbarkas,https://autoplius.lt/skelbimai/opel-antara-2-2-l-visureigis-krosoveris-2015-dyzelinas-24804183.html,6299.0,Opel
Ford S-MAX,Vienatūris,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2011-11,186 462 km,6 299 €,Alytus,https://autoplius.lt/skelbimai/ford-s-max-2-0-l-vienaturis-2011-dyzelinas-25702136.html,6299.0,Ford
Volkswagen Phaeton,Sedanas,Automatinė,"3.0 l., 171 kW",Dyzelinas,2008-12,234 753 km,6 300 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-phaeton-3-0-l-sedanas-2008-dyzelinas-25699440.html,6300.0,Volkswagen
Land Rover Range Rover Sport,Visureigis / Krosoveris,Automatinė,"2.7 l., 140 kW",Dyzelinas,2006-03,320 000 km,6 300 €,Vilnius,https://autoplius.lt/skelbimai/land-rover-range-rover-sport-2-7-l-visureigis-krosoveris-2006-dyzelinas-25372099.html,6300.0,Land
Volkswagen Golf Plus,Vienatūris,Automatinė,"1.4 l., 118 kW",Benzinas,2009-09,116 000 km,6 300 €,Marijampolė,https://autoplius.lt/skelbimai/volkswagen-golf-plus-1-4-l-vienaturis-2009-benzinas-25523179.html,6300.0,Volkswagen
Volkswagen Golf,Universalas,Automatinė,"2.0 l., 110 kW",Dyzelinas,2014-12,239 000 km,6 350 €,Jurbarkas,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2014-dyzelinas-25533345.html,6350.0,Volkswagen
Opel Insignia,Universalas,Automatinė,"2.0 l., 118 kW",Dyzelinas,2011-12,227 555 km,6 350 €,Marijampolė,https://autoplius.lt/skelbimai/opel-insignia-2-0-l-universalas-2011-dyzelinas-25533341.html,6350.0,Opel
Audi A6,Universalas,Automatinė,"2.7 l., 140 kW",Dyzelinas,2010,288 094 km,6 380 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-2-7-l-universalas-2010-dyzelinas-25471915.html,6380.0,Audi
BMW 730,Sedanas,Automatinė,"3.0 l., 170 kW",Dyzelinas,2007-12,245 000 km,6 390 €,Kaunas,https://autoplius.lt/skelbimai/bmw-730-3-0-l-sedanas-2007-dyzelinas-25658509.html,6390.0,BMW
Saab 9-5,Sedanas,Mechaninė,"2.0 l., 118 kW",Dyzelinas,2010-07,310 000 km,6 400 €,Marijampolė,https://autoplius.lt/skelbimai/saab-9-5-2-0-l-sedanas-2010-dyzelinas-25415535.html,6400.0,Saab
Infiniti EX35,Visureigis / Krosoveris,Automatinė,"3.5 l., 217 kW",Benzinas,2008-12,244 000 km,6 400 €,Klaipėda,https://autoplius.lt/skelbimai/infiniti-ex35-3-5-l-visureigis-krosoveris-2008-benzinas-25629481.html,6400.0,Infiniti
Nissan X-Trail,Visureigis / Krosoveris,Mechaninė,"2.0 l., 110 kW",Dyzelinas,2008-12,300 000 km,6 450 €,Šiauliai,https://autoplius.lt/skelbimai/nissan-x-trail-2-0-l-visureigis-krosoveris-2008-dyzelinas-25214863.html,6450.0,Nissan
Ford Mondeo,Universalas,Mechaninė,"2.0 l., 110 kW",Dyzelinas,2017-10,294 000 km,6 450 €,Jurbarkas,https://autoplius.lt/skelbimai/ford-mondeo-2-0-l-universalas-2017-dyzelinas-25509635.html,6450.0,Ford
Citroen C-Crosser,Visureigis / Krosoveris,Mechaninė,"2.2 l., 115 kW",Dyzelinas,2008,198 544 km,6 450 €,Šiauliai,https://autoplius.lt/skelbimai/citroen-c-crosser-2-2-l-visureigis-krosoveris-2008-dyzelinas-25702270.html,6450.0,Citroen
Volkswagen Passat CC,Sedanas,Automatinė,"2.0 l., 147 kW",Benzinas,2011-12,220 000 km,6 500 €,Kėdainiai,https://autoplius.lt/skelbimai/volkswagen-passat-cc-2-0-l-sedanas-2011-benzinas-25707790.html,6500.0,Volkswagen
Audi Q7,Visureigis / Krosoveris,Automatinė,"3.0 l., 171 kW",Dyzelinas,2006-12,178 000 km,6 500 €,Kaunas,https://autoplius.lt/skelbimai/audi-q7-3-0-l-visureigis-krosoveris-2006-dyzelinas-25626985.html,6500.0,Audi
BMW 530,Universalas,Automatinė,"3.0 l., 180 kW",Dyzelinas,2011,331 310 km,6 500 €,Vilnius,https://autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2011-dyzelinas-24990199.html,6500.0,BMW
Peugeot 508,Sedanas,Automatinė,"2.0 l., 120 kW",Dyzelinas / elektra,2013-07,286 568 km,6 500 €,Klaipėda,https://autoplius.lt/skelbimai/peugeot-508-2-0-l-sedanas-2013-dyzelinas-elektra-25525257.html,6500.0,Peugeot
Opel Antara,Visureigis / Krosoveris,Automatinė,"2.2 l., 135 kW",Dyzelinas,2012-10,203 292 km,6 500 €,Klaipėda,https://autoplius.lt/skelbimai/opel-antara-2-2-l-visureigis-krosoveris-2012-dyzelinas-25689050.html,6500.0,Opel
Volkswagen CC,Kupė (Coupe),Automatinė,"2.0 l., 147 kW",Benzinas,2013,182 943 km,6 500 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-cc-2-0-l-kupe-coupe-2013-benzinas-24519910.html,6500.0,Volkswagen
Jeep Grand Cherokee,Visureigis / Krosoveris,Automatinė,"3.0 l., 160 kW",Dyzelinas,2005,271 324 km,6 500 €,Vilnius,https://autoplius.lt/skelbimai/jeep-grand-cherokee-3-0-l-visureigis-krosoveris-2005-dyzelinas-25705686.html,6500.0,Jeep
Toyota Avensis,Universalas,Automatinė,"2.0 l., 112 kW",Benzinas,2014-04,303 857 km,6 500 €,Kaunas,https://autoplius.lt/skelbimai/toyota-avensis-2-0-l-universalas-2014-benzinas-25705612.html,6500.0,Toyota
Ford Fusion,Sedanas,Automatinė,"2.5 l., 130 kW",Benzinas,2014-07,200 000 km,6 500 €,Kaunas,https://autoplius.lt/skelbimai/ford-fusion-2-5-l-sedanas-2014-benzinas-25651023.html,6500.0,Ford
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"2.5 l., 128 kW",Dyzelinas,2008-05,192 830 km,6 550 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-touareg-2-5-l-visureigis-2008-dyzelinas-23982593.html,6550.0,Volkswagen
Opel Zafira,Vienatūris,Mechaninė,"1.6 l., 1000 kW",Dyzelinas,2015-11,259 741 km,6 590 €,Vilnius,https://autoplius.lt/skelbimai/opel-zafira-1-6-l-vienaturis-2015-dyzelinas-25647691.html,6590.0,Opel
BMW 520,Universalas,Automatinė,"2.0 l., 135 kW",Dyzelinas,2010,347 106 km,6 600 €,Vilnius,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2010-dyzelinas-25363183.html,6600.0,BMW
Mercedes-Benz ML420,Visureigis / Krosoveris,Automatinė,"4.0 l., 225 kW",Dyzelinas,2008-03,330 000 km,6 600 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-ml420-4-0-l-visureigis-krosoveris-2008-dyzelinas-25166420.html,6600.0,Mercedes-Benz
Volkswagen Golf,Hečbekas,Automatinė,"2.0 l., 170 kW",Dyzelinas,2009-04,274 512 km,6 650 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-hecbekas-2009-dyzelinas-25705768.html,6650.0,Volkswagen
BMW 520,Universalas,Automatinė,"2.0 l., 130 kW",Dyzelinas,2010-04,309 887 km,6 650 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2010-dyzelinas-25645019.html,6650.0,BMW
Ford S-MAX,Vienatūris,Mechaninė,"2.2 l., 147 kW",Dyzelinas,2012-11,249 552 km,6 650 €,Kaunas,https://autoplius.lt/skelbimai/ford-s-max-2-2-l-vienaturis-2012-dyzelinas-25628967.html,6650.0,Ford
Mazda CX-9,Visureigis / Krosoveris,Automatinė,"3.7 l., 204 kW",Benzinas,2009,197 200 km,6 666 €,Kaunas,https://autoplius.lt/skelbimai/mazda-cx-9-3-7-l-visureigis-krosoveris-2009-benzinas-25700964.html,6666.0,Mazda
Volvo XC70,Universalas,Automatinė,"2.4 l., 136 kW",Dyzelinas,2007-11,Nenurodyta,6 450 €,Marijampolė,https://autoplius.lt/skelbimai/volvo-xc70-2-4-l-universalas-2007-dyzelinas-25440025.html,6450.0,Volvo
Volkswagen Passat CC,Sedanas,Automatinė,"2.0 l., 147 kW",Benzinas,2011-12,220 000 km,6 500 €,Kėdainiai,https://autoplius.lt/skelbimai/volkswagen-passat-cc-2-0-l-sedanas-2011-benzinas-25707790.html,6500.0,Volkswagen
Audi Q7,Visureigis / Krosoveris,Automatinė,"3.0 l., 171 kW",Dyzelinas,2006-12,178 000 km,6 500 €,Kaunas,https://autoplius.lt/skelbimai/audi-q7-3-0-l-visureigis-krosoveris-2006-dyzelinas-25626985.html,6500.0,Audi
BMW 530,Universalas,Automatinė,"3.0 l., 180 kW",Dyzelinas,2011,331 310 km,6 500 €,Vilnius,https://autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2011-dyzelinas-24990199.html,6500.0,BMW
Audi TT,Kupė (Coupe),Mechaninė,"1.8 l., 118 kW",Benzinas,2009-06,264 370 km,6 500 €,Marijampolė,https://autoplius.lt/skelbimai/audi-tt-1-8-l-kupe-coupe-2009-benzinas-25537027.html,6500.0,Audi
Peugeot 508,Sedanas,Automatinė,"2.0 l., 120 kW",Dyzelinas / elektra,2013-07,286 568 km,6 500 €,Klaipėda,https://autoplius.lt/skelbimai/peugeot-508-2-0-l-sedanas-2013-dyzelinas-elektra-25525257.html,6500.0,Peugeot
Opel Antara,Visureigis / Krosoveris,Automatinė,"2.2 l., 135 kW",Dyzelinas,2012-10,203 292 km,6 500 €,Klaipėda,https://autoplius.lt/skelbimai/opel-antara-2-2-l-visureigis-krosoveris-2012-dyzelinas-25689050.html,6500.0,Opel
Volkswagen CC,Kupė (Coupe),Automatinė,"2.0 l., 147 kW",Benzinas,2013,182 943 km,6 500 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-cc-2-0-l-kupe-coupe-2013-benzinas-24519910.html,6500.0,Volkswagen
Jeep Grand Cherokee,Visureigis / Krosoveris,Automatinė,"3.0 l., 160 kW",Dyzelinas,2005,271 324 km,6 500 €,Vilnius,https://autoplius.lt/skelbimai/jeep-grand-cherokee-3-0-l-visureigis-krosoveris-2005-dyzelinas-25705686.html,6500.0,Jeep
Toyota Avensis,Universalas,Automatinė,"2.0 l., 112 kW",Benzinas,2014-04,303 857 km,6 500 €,Kaunas,https://autoplius.lt/skelbimai/toyota-avensis-2-0-l-universalas-2014-benzinas-25705612.html,6500.0,Toyota
Ford Fusion,Sedanas,Automatinė,"2.5 l., 130 kW",Benzinas,2014-07,200 000 km,6 500 €,Kaunas,https://autoplius.lt/skelbimai/ford-fusion-2-5-l-sedanas-2014-benzinas-25651023.html,6500.0,Ford
Chevrolet Captiva,Visureigis / Krosoveris,Mechaninė,"2.2 l., 120 kW",Dyzelinas,2013-04,169 375 km,6 550 €,Šiauliai,https://autoplius.lt/skelbimai/chevrolet-captiva-2-2-l-visureigis-krosoveris-2013-dyzelinas-25703242.html,6550.0,Chevrolet
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"2.5 l., 128 kW",Dyzelinas,2008-05,192 830 km,6 550 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-touareg-2-5-l-visureigis-2008-dyzelinas-23982593.html,6550.0,Volkswagen
Opel Zafira,Vienatūris,Mechaninė,"1.6 l., 1000 kW",Dyzelinas,2015-11,259 741 km,6 590 €,Vilnius,https://autoplius.lt/skelbimai/opel-zafira-1-6-l-vienaturis-2015-dyzelinas-25647691.html,6590.0,Opel
BMW 520,Universalas,Automatinė,"2.0 l., 135 kW",Dyzelinas,2010,347 106 km,6 600 €,Vilnius,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2010-dyzelinas-25363183.html,6600.0,BMW
Mercedes-Benz ML420,Visureigis / Krosoveris,Automatinė,"4.0 l., 225 kW",Dyzelinas,2008-03,330 000 km,6 600 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-ml420-4-0-l-visureigis-krosoveris-2008-dyzelinas-25166420.html,6600.0,Mercedes-Benz
Volkswagen Golf,Hečbekas,Automatinė,"2.0 l., 170 kW",Dyzelinas,2009-04,274 512 km,6 650 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-hecbekas-2009-dyzelinas-25705768.html,6650.0,Volkswagen
BMW 520,Universalas,Automatinė,"2.0 l., 130 kW",Dyzelinas,2010-04,309 887 km,6 650 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2010-dyzelinas-25645019.html,6650.0,BMW
Ford S-MAX,Vienatūris,Mechaninė,"2.2 l., 147 kW",Dyzelinas,2012-11,249 552 km,6 650 €,Kaunas,https://autoplius.lt/skelbimai/ford-s-max-2-2-l-vienaturis-2012-dyzelinas-25628967.html,6650.0,Ford
Mazda CX-9,Visureigis / Krosoveris,Automatinė,"3.7 l., 204 kW",Benzinas,2009,197 200 km,6 666 €,Kaunas,https://autoplius.lt/skelbimai/mazda-cx-9-3-7-l-visureigis-krosoveris-2009-benzinas-25700964.html,6666.0,Mazda
Volvo V60,Universalas,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2010,242 000 km,6 700 €,Alytus,https://autoplius.lt/skelbimai/volvo-v60-2-0-l-universalas-2010-dyzelinas-25636637.html,6700.0,Volvo
Audi A6 allroad,Universalas,Automatinė,"3.0 l., 171 kW",Dyzelinas,2009-02,265 000 km,6 700 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-allroad-3-0-l-universalas-2009-dyzelinas-25705064.html,6700.0,Audi
Hyundai Santa Fe,Visureigis / Krosoveris,Mechaninė,"2.2 l., 114 kW",Dyzelinas,2009-12,217 130 km,6 700 €,Vilnius,https://autoplius.lt/skelbimai/hyundai-santa-fe-2-2-l-visureigis-krosoveris-2009-dyzelinas-25247503.html,6700.0,Hyundai
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 125 kW",Dyzelinas,2012-02,325 000 km,6 700 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2012-dyzelinas-25680004.html,6700.0,Volkswagen
Volvo XC90,Visureigis / Krosoveris,Automatinė,"2.4 l., 136 kW",Dyzelinas,2008-05,342 000 km,6 700 €,Tauragė,https://autoplius.lt/skelbimai/volvo-xc90-2-4-l-visureigis-krosoveris-2008-dyzelinas-25652089.html,6700.0,Volvo
Peugeot 508,Universalas,Automatinė,"2.0 l., 120 kW",Dyzelinas,2014-09,215 000 km,6 700 €,Klaipėda,https://autoplius.lt/skelbimai/peugeot-508-2-0-l-universalas-2014-dyzelinas-23960479.html,6700.0,Peugeot
BMW 320,Sedanas,Automatinė,"2.0 l., 135 kW",Benzinas,2012-07,278 000 km,6 750 €,Prienai,https://autoplius.lt/skelbimai/bmw-320-2-0-l-sedanas-2012-benzinas-25513825.html,6750.0,BMW
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"3.0 l., 165 kW",Dyzelinas,2007-04,264 000 km,6 750 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-touareg-3-0-l-visureigis-krosoveris-2007-dyzelinas-25699786.html,6750.0,Volkswagen
Volvo V60,Universalas,Automatinė,"2.0 l., 120 kW",Dyzelinas,2010-11,319 000 km,6 750 €,Radviliškis,https://autoplius.lt/skelbimai/volvo-v60-2-0-l-universalas-2010-dyzelinas-25686950.html,6750.0,Volvo
Mercedes-Benz C250,Sedanas,Automatinė,"2.1 l., 150 kW",Dyzelinas,2010-02,246 000 km,6 799 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-c250-2-1-l-sedanas-2010-dyzelinas-25459529.html,6799.0,Mercedes-Benz
Citroen DS5,Hečbekas,Automatinė,"2.0 l., 120 kW",Dyzelinas,2012-02,255 623 km,6 800 €,Kaunas,https://autoplius.lt/skelbimai/citroen-ds5-2-0-l-hecbekas-2012-dyzelinas-24904219.html,6800.0,Citroen
Audi A6,Universalas,Automatinė,"2.7 l., 140 kW",Dyzelinas,2011-06,305 365 km,6 800 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-2-7-l-universalas-2011-dyzelinas-25610635.html,6800.0,Audi
Toyota RAV4,Visureigis / Krosoveris,Mechaninė,"2.2 l., 110 kW",Dyzelinas,2009-10,286 000 km,6 800 €,Vilnius,https://autoplius.lt/skelbimai/toyota-rav4-2-2-l-visureigis-krosoveris-2009-dyzelinas-25702646.html,6800.0,Toyota
Volvo XC60,Visureigis / Krosoveris,Automatinė,"2.4 l., 151 kW",Dyzelinas,2009-10,338 269 km,6 800 €,Vilnius,https://autoplius.lt/skelbimai/volvo-xc60-2-4-l-visureigis-krosoveris-2009-dyzelinas-25101484.html,6800.0,Volvo
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 125 kW",Dyzelinas,2011-09,329 336 km,6 850 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2011-dyzelinas-25694080.html,6850.0,Volkswagen
BMW 320,Universalas,Automatinė,"2.0 l., 135 kW",Dyzelinas,2012-10,305 966 km,6 900 €,Vilnius,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2012-dyzelinas-25456521.html,6900.0,BMW
Audi A6,Universalas,Automatinė,"2.7 l., 140 kW",Dyzelinas,2011-03,308 540 km,6 900 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-2-7-l-universalas-2011-dyzelinas-25593029.html,6900.0,Audi
Honda CR-V,Visureigis / Krosoveris,Automatinė,"2.2 l., 110 kW",Dyzelinas,2010-11,247 000 km,6 900 €,Vievis,https://autoplius.lt/skelbimai/honda-cr-v-2-2-l-visureigis-krosoveris-2010-dyzelinas-25702454.html,6900.0,Honda
Volvo V60,Universalas,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2010,242 000 km,6 700 €,Alytus,https://autoplius.lt/skelbimai/volvo-v60-2-0-l-universalas-2010-dyzelinas-25636637.html,6700.0,Volvo
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"3.0 l., 176 kW",Dyzelinas,2007,310 000 km,6 700 €,Trakai,https://autoplius.lt/skelbimai/volkswagen-touareg-3-0-l-visureigis-krosoveris-2007-dyzelinas-24856657.html,6700.0,Volkswagen
Audi A6 allroad,Universalas,Automatinė,"3.0 l., 171 kW",Dyzelinas,2009-02,265 000 km,6 700 €,Vilnius,https://autoplius.lt/skelbimai/audi-a6-allroad-3-0-l-universalas-2009-dyzelinas-25705064.html,6700.0,Audi
Hyundai Santa Fe,Visureigis / Krosoveris,Mechaninė,"2.2 l., 114 kW",Dyzelinas,2009-12,217 130 km,6 700 €,Vilnius,https://autoplius.lt/skelbimai/hyundai-santa-fe-2-2-l-visureigis-krosoveris-2009-dyzelinas-25247503.html,6700.0,Hyundai
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 125 kW",Dyzelinas,2012-02,325 000 km,6 700 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2012-dyzelinas-25680004.html,6700.0,Volkswagen
Volvo XC90,Visureigis / Krosoveris,Automatinė,"2.4 l., 136 kW",Dyzelinas,2008-05,342 000 km,6 700 €,Tauragė,https://autoplius.lt/skelbimai/volvo-xc90-2-4-l-visureigis-krosoveris-2008-dyzelinas-25652089.html,6700.0,Volvo
